repetition,held_subject_fold,held_video_fold,outer_cell,scenario_type,scenario_id,train_subject_folds,train_video_folds,validation_subject_folds,validation_video_folds,nominal_train_subjects,nominal_train_videos,observed_train_subjects,observed_train_videos,raw_train_rows,task,class_value,class_name,eligibility_level,minimum_trials,minimum_exact_videos,scored_class_trials,class_subjects_with_any_trial,class_unique_videos,class_videos_with_ge3_subjects,eligible_subject_count,eligible_subject_ids,consensus_M_ge_3,eligible_fraction_of_nominal_subjects,uniform_random_trio_acceptance_probability,expected_uniform_resampling_attempts_for_valid_trio,eligible_trial_count_min,eligible_trial_count_median,eligible_trial_count_max,eligible_video_count_min,eligible_video_count_median,eligible_video_count_max,eligible_subject_video_union_count,eligible_subject_video_common_count,eligible_subject_video_pairwise_jaccard_mean
0,1,1,R00_S1_V1,inner_subject_only,R00_S1_V1_inner_subject_train_S2,2,2;3,3,,8,10,5,10,14,valence,1,high,weak_1trial,1,1,2,2,2,0,2,P001;P003,False,0.25,0.0,,1,1.0,1,1,1.0,1,2,0,0.0
0,1,1,R00_S1_V1,inner_subject_only,R00_S1_V1_inner_subject_train_S2,2,2;3,3,,8,10,5,10,14,valence,1,high,minimal_2trials,2,1,2,2,2,0,0,,False,0.0,0.0,,0,0.0,0,0,0.0,0,0,0,
0,1,1,R00_S1_V1,inner_subject_only,R00_S1_V1_inner_subject_train_S2,2,2;3,3,,8,10,5,10,14,valence,1,high,strong_2trials_2videos,2,2,2,2,2,0,0,,False,0.0,0.0,,0,0.0,0,0,0.0,0,0,0,
0,1,1,R00_S1_V1,inner_subject_only,R00_S1_V1_inner_subject_train_S2,2,2;3,3,,8,10,5,10,14,arousal,0,low,weak_1trial,1,1,10,5,8,0,5,P001;P003;P007;P017;P018,True,0.625,0.17857142857142858,5.6,1,1.0,5,1,1.0,5,8,0,0.03666666666666667
0,1,1,R00_S1_V1,inner_subject_only,R00_S1_V1_inner_subject_train_S2,2,2;3,3,,8,10,5,10,14,arousal,0,low,minimal_2trials,2,1,10,5,8,0,2,P001;P017,False,0.25,0.0,,2,3.5,5,2,3.5,5,6,1,0.16666666666666666
0,1,1,R00_S1_V1,inner_subject_only,R00_S1_V1_inner_subject_train_S2,2,2;3,3,,8,10,5,10,14,arousal,0,low,strong_2trials_2videos,2,2,10,5,8,0,2,P001;P017,False,0.25,0.0,,2,3.5,5,2,3.5,5,6,1,0.16666666666666666
0,1,1,R00_S1_V1,inner_subject_only,R00_S1_V1_inner_subject_train_S2,2,2;3,3,,8,10,5,10,14,arousal,1,high,weak_1trial,1,1,2,2,2,0,2,P003;P007,False,0.25,0.0,,1,1.0,1,1,1.0,1,2,0,0.0
0,1,1,R00_S1_V1,inner_subject_only,R00_S1_V1_inner_subject_train_S2,2,2;3,3,,8,10,5,10,14,arousal,1,high,minimal_2trials,2,1,2,2,2,0,0,,False,0.0,0.0,,0,0.0,0,0,0.0,0,0,0,
0,1,1,R00_S1_V1,inner_subject_only,R00_S1_V1_inner_subject_train_S2,2,2;3,3,,8,10,5,10,14,arousal,1,high,strong_2trials_2videos,2,2,2,2,2,0,0,,False,0.0,0.0,,0,0.0,0,0,0.0,0,0,0,
0,1,1,R00_S1_V1,inner_subject_only,R00_S1_V1_inner_subject_train_S3,3,2;3,2,,8,10,6,5,10,valence,0,low,weak_1trial,1,1,7,5,4,1,5,P010;P016;P021;P025;P026,True,0.625,0.17857142857142858,5.6,1,1.0,2,1,1.0,2,4,0,0.2333333333333333
0,1,1,R00_S1_V1,inner_subject_only,R00_S1_V1_inner_subject_train_S3,3,2;3,2,,8,10,6,5,10,valence,0,low,minimal_2trials,2,1,7,5,4,1,2,P021;P025,False,0.25,0.0,,2,2.0,2,2,2.0,2,3,1,0.3333333333333333
0,1,1,R00_S1_V1,inner_subject_only,R00_S1_V1_inner_subject_train_S3,3,2;3,2,,8,10,6,5,10,valence,0,low,strong_2trials_2videos,2,2,7,5,4,1,2,P021;P025,False,0.25,0.0,,2,2.0,2,2,2.0,2,3,1,0.3333333333333333
0,1,1,R00_S1_V1,inner_subject_only,R00_S1_V1_inner_subject_train_S3,3,2;3,2,,8,10,6,5,10,valence,1,high,weak_1trial,1,1,2,2,2,0,2,P010;P013,False,0.25,0.0,,1,1.0,1,1,1.0,1,2,0,0.0
0,1,1,R00_S1_V1,inner_subject_only,R00_S1_V1_inner_subject_train_S3,3,2;3,2,,8,10,6,5,10,valence,1,high,minimal_2trials,2,1,2,2,2,0,0,,False,0.0,0.0,,0,0.0,0,0,0.0,0,0,0,
0,1,1,R00_S1_V1,inner_subject_only,R00_S1_V1_inner_subject_train_S3,3,2;3,2,,8,10,6,5,10,valence,1,high,strong_2trials_2videos,2,2,2,2,2,0,0,,False,0.0,0.0,,0,0.0,0,0,0.0,0,0,0,
0,1,1,R00_S1_V1,inner_subject_only,R00_S1_V1_inner_subject_train_S3,3,2;3,2,,8,10,6,5,10,arousal,0,low,weak_1trial,1,1,5,4,3,1,4,P016;P021;P025;P026,True,0.5,0.07142857142857142,14.0,1,1.0,2,1,1.0,2,3,0,0.3333333333333333
0,1,1,R00_S1_V1,inner_subject_only,R00_S1_V1_inner_subject_train_S3,3,2;3,2,,8,10,6,5,10,arousal,0,low,minimal_2trials,2,1,5,4,3,1,1,P021,False,0.125,0.0,,2,2.0,2,2,2.0,2,2,2,
0,1,1,R00_S1_V1,inner_subject_only,R00_S1_V1_inner_subject_train_S3,3,2;3,2,,8,10,6,5,10,arousal,0,low,strong_2trials_2videos,2,2,5,4,3,1,1,P021,False,0.125,0.0,,2,2.0,2,2,2.0,2,2,2,
0,1,1,R00_S1_V1,inner_subject_only,R00_S1_V1_inner_subject_train_S3,3,2;3,2,,8,10,6,5,10,arousal,1,high,weak_1trial,1,1,5,4,3,1,4,P010;P013;P025;P026,True,0.5,0.07142857142857142,14.0,1,1.0,2,1,1.0,2,3,0,0.5
0,1,1,R00_S1_V1,inner_subject_only,R00_S1_V1_inner_subject_train_S3,3,2;3,2,,8,10,6,5,10,arousal,1,high,minimal_2trials,2,1,5,4,3,1,1,P010,False,0.125,0.0,,2,2.0,2,2,2.0,2,2,2,
0,1,1,R00_S1_V1,inner_subject_only,R00_S1_V1_inner_subject_train_S3,3,2;3,2,,8,10,6,5,10,arousal,1,high,strong_2trials_2videos,2,2,5,4,3,1,1,P010,False,0.125,0.0,,2,2.0,2,2,2.0,2,2,2,
0,1,1,R00_S1_V1,inner_video_only,R00_S1_V1_inner_video_train_V2,2;3,2,,3,16,5,11,5,12,valence,0,low,weak_1trial,1,1,8,7,4,1,7,P007;P016;P017;P018;P021;P025;P026,True,0.4375,0.0625,16.0,1,1.0,2,1,1.0,2,4,0,0.47619047619047616
0,1,1,R00_S1_V1,inner_video_only,R00_S1_V1_inner_video_train_V2,2;3,2,,3,16,5,11,5,12,valence,0,low,minimal_2trials,2,1,8,7,4,1,1,P017,False,0.0625,0.0,,2,2.0,2,2,2.0,2,2,2,
0,1,1,R00_S1_V1,inner_video_only,R00_S1_V1_inner_video_train_V2,2;3,2,,3,16,5,11,5,12,valence,0,low,strong_2trials_2videos,2,2,8,7,4,1,1,P017,False,0.0625,0.0,,2,2.0,2,2,2.0,2,2,2,
0,1,1,R00_S1_V1,inner_video_only,R00_S1_V1_inner_video_train_V2,2;3,2,,3,16,5,11,5,12,valence,1,high,weak_1trial,1,1,3,3,2,0,3,P003;P010;P013,True,0.1875,0.0017857142857142857,560.0,1,1.0,1,1,1.0,1,2,0,0.3333333333333333
0,1,1,R00_S1_V1,inner_video_only,R00_S1_V1_inner_video_train_V2,2;3,2,,3,16,5,11,5,12,valence,1,high,minimal_2trials,2,1,3,3,2,0,0,,False,0.0,0.0,,0,0.0,0,0,0.0,0,0,0,
0,1,1,R00_S1_V1,inner_video_only,R00_S1_V1_inner_video_train_V2,2;3,2,,3,16,5,11,5,12,valence,1,high,strong_2trials_2videos,2,2,3,3,2,0,0,,False,0.0,0.0,,0,0.0,0,0,0.0,0,0,0,
0,1,1,R00_S1_V1,inner_video_only,R00_S1_V1_inner_video_train_V2,2;3,2,,3,16,5,11,5,12,arousal,0,low,weak_1trial,1,1,6,5,5,0,5,P003;P016;P017;P018;P021,True,0.3125,0.017857142857142856,56.0,1,1.0,2,1,1.0,2,5,0,0.1
0,1,1,R00_S1_V1,inner_video_only,R00_S1_V1_inner_video_train_V2,2;3,2,,3,16,5,11,5,12,arousal,0,low,minimal_2trials,2,1,6,5,5,0,1,P017,False,0.0625,0.0,,2,2.0,2,2,2.0,2,2,2,
0,1,1,R00_S1_V1,inner_video_only,R00_S1_V1_inner_video_train_V2,2;3,2,,3,16,5,11,5,12,arousal,0,low,strong_2trials_2videos,2,2,6,5,5,0,1,P017,False,0.0625,0.0,,2,2.0,2,2,2.0,2,2,2,
0,1,1,R00_S1_V1,inner_video_only,R00_S1_V1_inner_video_train_V2,2;3,2,,3,16,5,11,5,12,arousal,1,high,weak_1trial,1,1,5,5,2,1,5,P007;P010;P013;P025;P026,True,0.3125,0.017857142857142856,56.0,1,1.0,1,1,1.0,1,2,0,0.6
0,1,1,R00_S1_V1,inner_video_only,R00_S1_V1_inner_video_train_V2,2;3,2,,3,16,5,11,5,12,arousal,1,high,minimal_2trials,2,1,5,5,2,1,0,,False,0.0,0.0,,0,0.0,0,0,0.0,0,0,0,
0,1,1,R00_S1_V1,inner_video_only,R00_S1_V1_inner_video_train_V2,2;3,2,,3,16,5,11,5,12,arousal,1,high,strong_2trials_2videos,2,2,5,5,2,1,0,,False,0.0,0.0,,0,0.0,0,0,0.0,0,0,0,
0,1,1,R00_S1_V1,inner_video_only,R00_S1_V1_inner_video_train_V3,2;3,3,,2,16,5,8,5,12,valence,0,low,weak_1trial,1,1,9,7,4,1,7,P001;P003;P007;P010;P017;P021;P025,True,0.4375,0.0625,16.0,1,1.0,2,1,1.0,2,4,0,0.2777777777777778
0,1,1,R00_S1_V1,inner_video_only,R00_S1_V1_inner_video_train_V3,2;3,3,,2,16,5,8,5,12,valence,0,low,minimal_2trials,2,1,9,7,4,1,2,P001;P017,False,0.125,0.0,,2,2.0,2,2,2.0,2,3,1,0.3333333333333333
0,1,1,R00_S1_V1,inner_video_only,R00_S1_V1_inner_video_train_V3,2;3,3,,2,16,5,8,5,12,valence,0,low,strong_2trials_2videos,2,2,9,7,4,1,2,P001;P017,False,0.125,0.0,,2,2.0,2,2,2.0,2,3,1,0.3333333333333333
0,1,1,R00_S1_V1,inner_video_only,R00_S1_V1_inner_video_train_V3,2;3,3,,2,16,5,8,5,12,valence,1,high,weak_1trial,1,1,1,1,1,0,1,P001,False,0.0625,0.0,,1,1.0,1,1,1.0,1,1,1,
0,1,1,R00_S1_V1,inner_video_only,R00_S1_V1_inner_video_train_V3,2;3,3,,2,16,5,8,5,12,valence,1,high,minimal_2trials,2,1,1,1,1,0,0,,False,0.0,0.0,,0,0.0,0,0,0.0,0,0,0,
0,1,1,R00_S1_V1,inner_video_only,R00_S1_V1_inner_video_train_V3,2;3,3,,2,16,5,8,5,12,valence,1,high,strong_2trials_2videos,2,2,1,1,1,0,0,,False,0.0,0.0,,0,0.0,0,0,0.0,0,0,0,
0,1,1,R00_S1_V1,inner_video_only,R00_S1_V1_inner_video_train_V3,2;3,3,,2,16,5,8,5,12,arousal,0,low,weak_1trial,1,1,9,6,4,1,6,P001;P007;P017;P021;P025;P026,True,0.375,0.03571428571428571,28.0,1,1.0,3,1,1.0,3,4,0,0.5055555555555555
0,1,1,R00_S1_V1,inner_video_only,R00_S1_V1_inner_video_train_V3,2;3,3,,2,16,5,8,5,12,arousal,0,low,minimal_2trials,2,1,9,6,4,1,2,P001;P017,False,0.125,0.0,,2,2.5,3,2,2.5,3,4,1,0.25
0,1,1,R00_S1_V1,inner_video_only,R00_S1_V1_inner_video_train_V3,2;3,3,,2,16,5,8,5,12,arousal,0,low,strong_2trials_2videos,2,2,9,6,4,1,2,P001;P017,False,0.125,0.0,,2,2.5,3,2,2.5,3,4,1,0.25
0,1,1,R00_S1_V1,inner_video_only,R00_S1_V1_inner_video_train_V3,2;3,3,,2,16,5,8,5,12,arousal,1,high,weak_1trial,1,1,2,2,1,0,2,P003;P010,False,0.125,0.0,,1,1.0,1,1,1.0,1,1,1,1.0
0,1,1,R00_S1_V1,inner_video_only,R00_S1_V1_inner_video_train_V3,2;3,3,,2,16,5,8,5,12,arousal,1,high,minimal_2trials,2,1,2,2,1,0,0,,False,0.0,0.0,,0,0.0,0,0,0.0,0,0,0,
0,1,1,R00_S1_V1,inner_video_only,R00_S1_V1_inner_video_train_V3,2;3,3,,2,16,5,8,5,12,arousal,1,high,strong_2trials_2videos,2,2,2,2,1,0,0,,False,0.0,0.0,,0,0.0,0,0,0.0,0,0,0,
0,1,1,R00_S1_V1,inner_joint,R00_S1_V1_inner_joint_train_S2_V2,2,2,3,3,8,5,5,5,6,valence,0,low,weak_1trial,1,1,4,3,3,0,3,P007;P017;P018,True,0.375,0.017857142857142856,56.0,1,1.0,2,1,1.0,2,3,0,0.3333333333333333
0,1,1,R00_S1_V1,inner_joint,R00_S1_V1_inner_joint_train_S2_V2,2,2,3,3,8,5,5,5,6,valence,0,low,minimal_2trials,2,1,4,3,3,0,1,P017,False,0.125,0.0,,2,2.0,2,2,2.0,2,2,2,
0,1,1,R00_S1_V1,inner_joint,R00_S1_V1_inner_joint_train_S2_V2,2,2,3,3,8,5,5,5,6,valence,0,low,strong_2trials_2videos,2,2,4,3,3,0,1,P017,False,0.125,0.0,,2,2.0,2,2,2.0,2,2,2,
0,1,1,R00_S1_V1,inner_joint,R00_S1_V1_inner_joint_train_S2_V2,2,2,3,3,8,5,5,5,6,valence,1,high,weak_1trial,1,1,1,1,1,0,1,P003,False,0.125,0.0,,1,1.0,1,1,1.0,1,1,1,
0,1,1,R00_S1_V1,inner_joint,R00_S1_V1_inner_joint_train_S2_V2,2,2,3,3,8,5,5,5,6,valence,1,high,minimal_2trials,2,1,1,1,1,0,0,,False,0.0,0.0,,0,0.0,0,0,0.0,0,0,0,
0,1,1,R00_S1_V1,inner_joint,R00_S1_V1_inner_joint_train_S2_V2,2,2,3,3,8,5,5,5,6,valence,1,high,strong_2trials_2videos,2,2,1,1,1,0,0,,False,0.0,0.0,,0,0.0,0,0,0.0,0,0,0,
0,1,1,R00_S1_V1,inner_joint,R00_S1_V1_inner_joint_train_S2_V2,2,2,3,3,8,5,5,5,6,arousal,0,low,weak_1trial,1,1,4,3,4,0,3,P003;P017;P018,True,0.375,0.017857142857142856,56.0,1,1.0,2,1,1.0,2,4,0,0.0
0,1,1,R00_S1_V1,inner_joint,R00_S1_V1_inner_joint_train_S2_V2,2,2,3,3,8,5,5,5,6,arousal,0,low,minimal_2trials,2,1,4,3,4,0,1,P017,False,0.125,0.0,,2,2.0,2,2,2.0,2,2,2,
0,1,1,R00_S1_V1,inner_joint,R00_S1_V1_inner_joint_train_S2_V2,2,2,3,3,8,5,5,5,6,arousal,0,low,strong_2trials_2videos,2,2,4,3,4,0,1,P017,False,0.125,0.0,,2,2.0,2,2,2.0,2,2,2,
0,1,1,R00_S1_V1,inner_joint,R00_S1_V1_inner_joint_train_S2_V2,2,2,3,3,8,5,5,5,6,arousal,1,high,weak_1trial,1,1,1,1,1,0,1,P007,False,0.125,0.0,,1,1.0,1,1,1.0,1,1,1,
0,1,1,R00_S1_V1,inner_joint,R00_S1_V1_inner_joint_train_S2_V2,2,2,3,3,8,5,5,5,6,arousal,1,high,minimal_2trials,2,1,1,1,1,0,0,,False,0.0,0.0,,0,0.0,0,0,0.0,0,0,0,
0,1,1,R00_S1_V1,inner_joint,R00_S1_V1_inner_joint_train_S2_V2,2,2,3,3,8,5,5,5,6,arousal,1,high,strong_2trials_2videos,2,2,1,1,1,0,0,,False,0.0,0.0,,0,0.0,0,0,0.0,0,0,0,
0,1,1,R00_S1_V1,inner_joint,R00_S1_V1_inner_joint_train_S2_V3,2,3,3,2,8,5,4,5,8,valence,0,low,weak_1trial,1,1,6,4,4,0,4,P001;P003;P007;P017,True,0.5,0.07142857142857142,14.0,1,1.5,2,1,1.5,2,4,0,0.13888888888888887
0,1,1,R00_S1_V1,inner_joint,R00_S1_V1_inner_joint_train_S2_V3,2,3,3,2,8,5,4,5,8,valence,0,low,minimal_2trials,2,1,6,4,4,0,2,P001;P017,False,0.25,0.0,,2,2.0,2,2,2.0,2,3,1,0.3333333333333333
0,1,1,R00_S1_V1,inner_joint,R00_S1_V1_inner_joint_train_S2_V3,2,3,3,2,8,5,4,5,8,valence,0,low,strong_2trials_2videos,2,2,6,4,4,0,2,P001;P017,False,0.25,0.0,,2,2.0,2,2,2.0,2,3,1,0.3333333333333333
0,1,1,R00_S1_V1,inner_joint,R00_S1_V1_inner_joint_train_S2_V3,2,3,3,2,8,5,4,5,8,valence,1,high,weak_1trial,1,1,1,1,1,0,1,P001,False,0.125,0.0,,1,1.0,1,1,1.0,1,1,1,
0,1,1,R00_S1_V1,inner_joint,R00_S1_V1_inner_joint_train_S2_V3,2,3,3,2,8,5,4,5,8,valence,1,high,minimal_2trials,2,1,1,1,1,0,0,,False,0.0,0.0,,0,0.0,0,0,0.0,0,0,0,
0,1,1,R00_S1_V1,inner_joint,R00_S1_V1_inner_joint_train_S2_V3,2,3,3,2,8,5,4,5,8,valence,1,high,strong_2trials_2videos,2,2,1,1,1,0,0,,False,0.0,0.0,,0,0.0,0,0,0.0,0,0,0,
0,1,1,R00_S1_V1,inner_joint,R00_S1_V1_inner_joint_train_S2_V3,2,3,3,2,8,5,4,5,8,arousal,0,low,weak_1trial,1,1,6,3,4,0,3,P001;P007;P017,True,0.375,0.017857142857142856,56.0,1,2.0,3,1,2.0,3,4,0,0.19444444444444442
0,1,1,R00_S1_V1,inner_joint,R00_S1_V1_inner_joint_train_S2_V3,2,3,3,2,8,5,4,5,8,arousal,0,low,minimal_2trials,2,1,6,3,4,0,2,P001;P017,False,0.25,0.0,,2,2.5,3,2,2.5,3,4,1,0.25
0,1,1,R00_S1_V1,inner_joint,R00_S1_V1_inner_joint_train_S2_V3,2,3,3,2,8,5,4,5,8,arousal,0,low,strong_2trials_2videos,2,2,6,3,4,0,2,P001;P017,False,0.25,0.0,,2,2.5,3,2,2.5,3,4,1,0.25
0,1,1,R00_S1_V1,inner_joint,R00_S1_V1_inner_joint_train_S2_V3,2,3,3,2,8,5,4,5,8,arousal,1,high,weak_1trial,1,1,1,1,1,0,1,P003,False,0.125,0.0,,1,1.0,1,1,1.0,1,1,1,
0,1,1,R00_S1_V1,inner_joint,R00_S1_V1_inner_joint_train_S2_V3,2,3,3,2,8,5,4,5,8,arousal,1,high,minimal_2trials,2,1,1,1,1,0,0,,False,0.0,0.0,,0,0.0,0,0,0.0,0,0,0,
0,1,1,R00_S1_V1,inner_joint,R00_S1_V1_inner_joint_train_S2_V3,2,3,3,2,8,5,4,5,8,arousal,1,high,strong_2trials_2videos,2,2,1,1,1,0,0,,False,0.0,0.0,,0,0.0,0,0,0.0,0,0,0,
0,1,1,R00_S1_V1,inner_joint,R00_S1_V1_inner_joint_train_S3_V2,3,2,2,3,8,5,6,3,6,valence,0,low,weak_1trial,1,1,4,4,2,1,4,P016;P021;P025;P026,True,0.5,0.07142857142857142,14.0,1,1.0,1,1,1.0,1,2,0,0.5
0,1,1,R00_S1_V1,inner_joint,R00_S1_V1_inner_joint_train_S3_V2,3,2,2,3,8,5,6,3,6,valence,0,low,minimal_2trials,2,1,4,4,2,1,0,,False,0.0,0.0,,0,0.0,0,0,0.0,0,0,0,
0,1,1,R00_S1_V1,inner_joint,R00_S1_V1_inner_joint_train_S3_V2,3,2,2,3,8,5,6,3,6,valence,0,low,strong_2trials_2videos,2,2,4,4,2,1,0,,False,0.0,0.0,,0,0.0,0,0,0.0,0,0,0,
0,1,1,R00_S1_V1,inner_joint,R00_S1_V1_inner_joint_train_S3_V2,3,2,2,3,8,5,6,3,6,valence,1,high,weak_1trial,1,1,2,2,2,0,2,P010;P013,False,0.25,0.0,,1,1.0,1,1,1.0,1,2,0,0.0
0,1,1,R00_S1_V1,inner_joint,R00_S1_V1_inner_joint_train_S3_V2,3,2,2,3,8,5,6,3,6,valence,1,high,minimal_2trials,2,1,2,2,2,0,0,,False,0.0,0.0,,0,0.0,0,0,0.0,0,0,0,
0,1,1,R00_S1_V1,inner_joint,R00_S1_V1_inner_joint_train_S3_V2,3,2,2,3,8,5,6,3,6,valence,1,high,strong_2trials_2videos,2,2,2,2,2,0,0,,False,0.0,0.0,,0,0.0,0,0,0.0,0,0,0,
0,1,1,R00_S1_V1,inner_joint,R00_S1_V1_inner_joint_train_S3_V2,3,2,2,3,8,5,6,3,6,arousal,0,low,weak_1trial,1,1,2,2,2,0,2,P016;P021,False,0.25,0.0,,1,1.0,1,1,1.0,1,2,0,0.0
0,1,1,R00_S1_V1,inner_joint,R00_S1_V1_inner_joint_train_S3_V2,3,2,2,3,8,5,6,3,6,arousal,0,low,minimal_2trials,2,1,2,2,2,0,0,,False,0.0,0.0,,0,0.0,0,0,0.0,0,0,0,
0,1,1,R00_S1_V1,inner_joint,R00_S1_V1_inner_joint_train_S3_V2,3,2,2,3,8,5,6,3,6,arousal,0,low,strong_2trials_2videos,2,2,2,2,2,0,0,,False,0.0,0.0,,0,0.0,0,0,0.0,0,0,0,
0,1,1,R00_S1_V1,inner_joint,R00_S1_V1_inner_joint_train_S3_V2,3,2,2,3,8,5,6,3,6,arousal,1,high,weak_1trial,1,1,4,4,2,1,4,P010;P013;P025;P026,True,0.5,0.07142857142857142,14.0,1,1.0,1,1,1.0,1,2,0,0.5
0,1,1,R00_S1_V1,inner_joint,R00_S1_V1_inner_joint_train_S3_V2,3,2,2,3,8,5,6,3,6,arousal,1,high,minimal_2trials,2,1,4,4,2,1,0,,False,0.0,0.0,,0,0.0,0,0,0.0,0,0,0,
0,1,1,R00_S1_V1,inner_joint,R00_S1_V1_inner_joint_train_S3_V2,3,2,2,3,8,5,6,3,6,arousal,1,high,strong_2trials_2videos,2,2,4,4,2,1,0,,False,0.0,0.0,,0,0.0,0,0,0.0,0,0,0,
0,1,1,R00_S1_V1,inner_joint,R00_S1_V1_inner_joint_train_S3_V3,3,3,2,2,8,5,4,2,4,valence,0,low,weak_1trial,1,1,3,3,2,0,3,P010;P021;P025,True,0.375,0.017857142857142856,56.0,1,1.0,1,1,1.0,1,2,0,0.3333333333333333
0,1,1,R00_S1_V1,inner_joint,R00_S1_V1_inner_joint_train_S3_V3,3,3,2,2,8,5,4,2,4,valence,0,low,minimal_2trials,2,1,3,3,2,0,0,,False,0.0,0.0,,0,0.0,0,0,0.0,0,0,0,
