repetition,held_subject_fold,held_video_fold,outer_cell,scenario_type,scenario_id,train_subject_folds,train_video_folds,validation_subject_folds,validation_video_folds,nominal_train_subjects,nominal_train_videos,observed_train_subjects,observed_train_videos,raw_train_rows,task,eligibility_level,low_eligible_subjects,high_eligible_subjects,both_classes_eligible_subjects,both_classes_eligible_subject_ids,either_class_eligible_subjects,low_high_subject_set_jaccard,same_subject_trio_for_both_classes_possible
0,1,1,R00_S1_V1,inner_video_only,R00_S1_V1_inner_video_train_V3,2;3,3,,2,16,5,8,5,12,valence,minimal_2trials,2,0,0,,2,0.0,False
0,1,1,R00_S1_V1,inner_video_only,R00_S1_V1_inner_video_train_V3,2;3,3,,2,16,5,8,5,12,valence,strong_2trials_2videos,2,0,0,,2,0.0,False
0,1,1,R00_S1_V1,inner_video_only,R00_S1_V1_inner_video_train_V3,2;3,3,,2,16,5,8,5,12,arousal,weak_1trial,6,2,0,,8,0.0,False
0,1,1,R00_S1_V1,inner_video_only,R00_S1_V1_inner_video_train_V3,2;3,3,,2,16,5,8,5,12,arousal,minimal_2trials,2,0,0,,2,0.0,False
0,1,1,R00_S1_V1,inner_video_only,R00_S1_V1_inner_video_train_V3,2;3,3,,2,16,5,8,5,12,arousal,strong_2trials_2videos,2,0,0,,2,0.0,False
0,1,1,R00_S1_V1,inner_joint,R00_S1_V1_inner_joint_train_S2_V2,2,2,3,3,8,5,5,5,6,valence,weak_1trial,3,1,0,,4,0.0,False
0,1,1,R00_S1_V1,inner_joint,R00_S1_V1_inner_joint_train_S2_V2,2,2,3,3,8,5,5,5,6,valence,minimal_2trials,1,0,0,,1,0.0,False
0,1,1,R00_S1_V1,inner_joint,R00_S1_V1_inner_joint_train_S2_V2,2,2,3,3,8,5,5,5,6,valence,strong_2trials_2videos,1,0,0,,1,0.0,False
0,1,1,R00_S1_V1,inner_joint,R00_S1_V1_inner_joint_train_S2_V2,2,2,3,3,8,5,5,5,6,arousal,weak_1trial,3,1,0,,4,0.0,False
0,1,1,R00_S1_V1,inner_joint,R00_S1_V1_inner_joint_train_S2_V2,2,2,3,3,8,5,5,5,6,arousal,minimal_2trials,1,0,0,,1,0.0,False
0,1,1,R00_S1_V1,inner_joint,R00_S1_V1_inner_joint_train_S2_V2,2,2,3,3,8,5,5,5,6,arousal,strong_2trials_2videos,1,0,0,,1,0.0,False
0,1,1,R00_S1_V1,inner_joint,R00_S1_V1_inner_joint_train_S2_V3,2,3,3,2,8,5,4,5,8,valence,weak_1trial,4,1,1,P001,4,0.25,False
0,1,1,R00_S1_V1,inner_joint,R00_S1_V1_inner_joint_train_S2_V3,2,3,3,2,8,5,4,5,8,valence,minimal_2trials,2,0,0,,2,0.0,False
0,1,1,R00_S1_V1,inner_joint,R00_S1_V1_inner_joint_train_S2_V3,2,3,3,2,8,5,4,5,8,valence,strong_2trials_2videos,2,0,0,,2,0.0,False
0,1,1,R00_S1_V1,inner_joint,R00_S1_V1_inner_joint_train_S2_V3,2,3,3,2,8,5,4,5,8,arousal,weak_1trial,3,1,0,,4,0.0,False
0,1,1,R00_S1_V1,inner_joint,R00_S1_V1_inner_joint_train_S2_V3,2,3,3,2,8,5,4,5,8,arousal,minimal_2trials,2,0,0,,2,0.0,False
0,1,1,R00_S1_V1,inner_joint,R00_S1_V1_inner_joint_train_S2_V3,2,3,3,2,8,5,4,5,8,arousal,strong_2trials_2videos,2,0,0,,2,0.0,False
0,1,1,R00_S1_V1,inner_joint,R00_S1_V1_inner_joint_train_S3_V2,3,2,2,3,8,5,6,3,6,valence,weak_1trial,4,2,0,,6,0.0,False
0,1,1,R00_S1_V1,inner_joint,R00_S1_V1_inner_joint_train_S3_V2,3,2,2,3,8,5,6,3,6,valence,minimal_2trials,0,0,0,,0,,False
0,1,1,R00_S1_V1,inner_joint,R00_S1_V1_inner_joint_train_S3_V2,3,2,2,3,8,5,6,3,6,valence,strong_2trials_2videos,0,0,0,,0,,False
0,1,1,R00_S1_V1,inner_joint,R00_S1_V1_inner_joint_train_S3_V2,3,2,2,3,8,5,6,3,6,arousal,weak_1trial,2,4,0,,6,0.0,False
0,1,1,R00_S1_V1,inner_joint,R00_S1_V1_inner_joint_train_S3_V2,3,2,2,3,8,5,6,3,6,arousal,minimal_2trials,0,0,0,,0,,False
0,1,1,R00_S1_V1,inner_joint,R00_S1_V1_inner_joint_train_S3_V2,3,2,2,3,8,5,6,3,6,arousal,strong_2trials_2videos,0,0,0,,0,,False
0,1,1,R00_S1_V1,inner_joint,R00_S1_V1_inner_joint_train_S3_V3,3,3,2,2,8,5,4,2,4,valence,weak_1trial,3,0,0,,3,0.0,False
0,1,1,R00_S1_V1,inner_joint,R00_S1_V1_inner_joint_train_S3_V3,3,3,2,2,8,5,4,2,4,valence,minimal_2trials,0,0,0,,0,,False
0,1,1,R00_S1_V1,inner_joint,R00_S1_V1_inner_joint_train_S3_V3,3,3,2,2,8,5,4,2,4,valence,strong_2trials_2videos,0,0,0,,0,,False
0,1,1,R00_S1_V1,inner_joint,R00_S1_V1_inner_joint_train_S3_V3,3,3,2,2,8,5,4,2,4,arousal,weak_1trial,3,1,0,,4,0.0,False
0,1,1,R00_S1_V1,inner_joint,R00_S1_V1_inner_joint_train_S3_V3,3,3,2,2,8,5,4,2,4,arousal,minimal_2trials,0,0,0,,0,,False
0,1,1,R00_S1_V1,inner_joint,R00_S1_V1_inner_joint_train_S3_V3,3,3,2,2,8,5,4,2,4,arousal,strong_2trials_2videos,0,0,0,,0,,False
0,1,2,R00_S1_V2,outer_source,R00_S1_V2_outer_source,2;3,1;3,,,16,11,16,11,45,valence,weak_1trial,13,7,5,P001;P007;P016;P017;P023,15,0.3333333333333333,True
0,1,2,R00_S1_V2,outer_source,R00_S1_V2_outer_source,2;3,1;3,,,16,11,16,11,45,valence,minimal_2trials,9,2,2,P001;P007,9,0.2222222222222222,False
0,1,2,R00_S1_V2,outer_source,R00_S1_V2_outer_source,2;3,1;3,,,16,11,16,11,45,valence,strong_2trials_2videos,9,2,2,P001;P007,9,0.2222222222222222,False
0,1,2,R00_S1_V2,outer_source,R00_S1_V2_outer_source,2;3,1;3,,,16,11,16,11,45,arousal,weak_1trial,11,10,5,P003;P005;P007;P025;P028,16,0.3125,True
0,1,2,R00_S1_V2,outer_source,R00_S1_V2_outer_source,2;3,1;3,,,16,11,16,11,45,arousal,minimal_2trials,5,4,1,P007,8,0.125,False
0,1,2,R00_S1_V2,outer_source,R00_S1_V2_outer_source,2;3,1;3,,,16,11,16,11,45,arousal,strong_2trials_2videos,5,4,1,P007,8,0.125,False
0,1,2,R00_S1_V2,inner_subject_only,R00_S1_V2_inner_subject_train_S2,2,1;3,3,,8,11,8,11,27,valence,weak_1trial,8,4,4,P001;P007;P017;P023,8,0.5,True
0,1,2,R00_S1_V2,inner_subject_only,R00_S1_V2_inner_subject_train_S2,2,1;3,3,,8,11,8,11,27,valence,minimal_2trials,7,2,2,P001;P007,7,0.2857142857142857,False
0,1,2,R00_S1_V2,inner_subject_only,R00_S1_V2_inner_subject_train_S2,2,1;3,3,,8,11,8,11,27,valence,strong_2trials_2videos,7,2,2,P001;P007,7,0.2857142857142857,False
0,1,2,R00_S1_V2,inner_subject_only,R00_S1_V2_inner_subject_train_S2,2,1;3,3,,8,11,8,11,27,arousal,weak_1trial,6,4,2,P003;P007,8,0.25,False
0,1,2,R00_S1_V2,inner_subject_only,R00_S1_V2_inner_subject_train_S2,2,1;3,3,,8,11,8,11,27,arousal,minimal_2trials,4,3,1,P007,6,0.16666666666666666,False
0,1,2,R00_S1_V2,inner_subject_only,R00_S1_V2_inner_subject_train_S2,2,1;3,3,,8,11,8,11,27,arousal,strong_2trials_2videos,4,3,1,P007,6,0.16666666666666666,False
0,1,2,R00_S1_V2,inner_subject_only,R00_S1_V2_inner_subject_train_S3,3,1;3,2,,8,11,8,8,18,valence,weak_1trial,5,3,1,P016,7,0.14285714285714285,False
0,1,2,R00_S1_V2,inner_subject_only,R00_S1_V2_inner_subject_train_S3,3,1;3,2,,8,11,8,8,18,valence,minimal_2trials,2,0,0,,2,0.0,False
0,1,2,R00_S1_V2,inner_subject_only,R00_S1_V2_inner_subject_train_S3,3,1;3,2,,8,11,8,8,18,valence,strong_2trials_2videos,2,0,0,,2,0.0,False
0,1,2,R00_S1_V2,inner_subject_only,R00_S1_V2_inner_subject_train_S3,3,1;3,2,,8,11,8,8,18,arousal,weak_1trial,5,6,3,P005;P025;P028,8,0.375,True
0,1,2,R00_S1_V2,inner_subject_only,R00_S1_V2_inner_subject_train_S3,3,1;3,2,,8,11,8,8,18,arousal,minimal_2trials,1,1,0,,2,0.0,False
0,1,2,R00_S1_V2,inner_subject_only,R00_S1_V2_inner_subject_train_S3,3,1;3,2,,8,11,8,8,18,arousal,strong_2trials_2videos,1,1,0,,2,0.0,False
0,1,2,R00_S1_V2,inner_video_only,R00_S1_V2_inner_video_train_V1,2;3,1,,3,16,6,16,6,33,valence,weak_1trial,9,7,4,P001;P007;P016;P023,12,0.3333333333333333,True
0,1,2,R00_S1_V2,inner_video_only,R00_S1_V2_inner_video_train_V1,2;3,1,,3,16,6,16,6,33,valence,minimal_2trials,6,1,1,P007,6,0.16666666666666666,False
0,1,2,R00_S1_V2,inner_video_only,R00_S1_V2_inner_video_train_V1,2;3,1,,3,16,6,16,6,33,valence,strong_2trials_2videos,6,1,1,P007,6,0.16666666666666666,False
0,1,2,R00_S1_V2,inner_video_only,R00_S1_V2_inner_video_train_V1,2;3,1,,3,16,6,16,6,33,arousal,weak_1trial,9,8,3,P005;P007;P028,14,0.21428571428571427,True
0,1,2,R00_S1_V2,inner_video_only,R00_S1_V2_inner_video_train_V1,2;3,1,,3,16,6,16,6,33,arousal,minimal_2trials,2,4,1,P007,5,0.2,False
0,1,2,R00_S1_V2,inner_video_only,R00_S1_V2_inner_video_train_V1,2;3,1,,3,16,6,16,6,33,arousal,strong_2trials_2videos,2,4,1,P007,5,0.2,False
0,1,2,R00_S1_V2,inner_video_only,R00_S1_V2_inner_video_train_V3,2;3,3,,1,16,5,8,5,12,valence,weak_1trial,7,1,1,P001,7,0.14285714285714285,False
0,1,2,R00_S1_V2,inner_video_only,R00_S1_V2_inner_video_train_V3,2;3,3,,1,16,5,8,5,12,valence,minimal_2trials,2,0,0,,2,0.0,False
0,1,2,R00_S1_V2,inner_video_only,R00_S1_V2_inner_video_train_V3,2;3,3,,1,16,5,8,5,12,valence,strong_2trials_2videos,2,0,0,,2,0.0,False
0,1,2,R00_S1_V2,inner_video_only,R00_S1_V2_inner_video_train_V3,2;3,3,,1,16,5,8,5,12,arousal,weak_1trial,6,2,0,,8,0.0,False
0,1,2,R00_S1_V2,inner_video_only,R00_S1_V2_inner_video_train_V3,2;3,3,,1,16,5,8,5,12,arousal,minimal_2trials,2,0,0,,2,0.0,False
0,1,2,R00_S1_V2,inner_video_only,R00_S1_V2_inner_video_train_V3,2;3,3,,1,16,5,8,5,12,arousal,strong_2trials_2videos,2,0,0,,2,0.0,False
0,1,2,R00_S1_V2,inner_joint,R00_S1_V2_inner_joint_train_S2_V1,2,1,3,3,8,6,8,6,19,valence,weak_1trial,6,4,3,P001;P007;P023,7,0.42857142857142855,True
0,1,2,R00_S1_V2,inner_joint,R00_S1_V2_inner_joint_train_S2_V1,2,1,3,3,8,6,8,6,19,valence,minimal_2trials,5,1,1,P007,5,0.2,False
0,1,2,R00_S1_V2,inner_joint,R00_S1_V2_inner_joint_train_S2_V1,2,1,3,3,8,6,8,6,19,valence,strong_2trials_2videos,5,1,1,P007,5,0.2,False
0,1,2,R00_S1_V2,inner_joint,R00_S1_V2_inner_joint_train_S2_V1,2,1,3,3,8,6,8,6,19,arousal,weak_1trial,6,3,1,P007,8,0.125,False
0,1,2,R00_S1_V2,inner_joint,R00_S1_V2_inner_joint_train_S2_V1,2,1,3,3,8,6,8,6,19,arousal,minimal_2trials,2,3,1,P007,4,0.25,False
0,1,2,R00_S1_V2,inner_joint,R00_S1_V2_inner_joint_train_S2_V1,2,1,3,3,8,6,8,6,19,arousal,strong_2trials_2videos,2,3,1,P007,4,0.25,False
0,1,2,R00_S1_V2,inner_joint,R00_S1_V2_inner_joint_train_S2_V3,2,3,3,1,8,5,4,5,8,valence,weak_1trial,4,1,1,P001,4,0.25,False
0,1,2,R00_S1_V2,inner_joint,R00_S1_V2_inner_joint_train_S2_V3,2,3,3,1,8,5,4,5,8,valence,minimal_2trials,2,0,0,,2,0.0,False
0,1,2,R00_S1_V2,inner_joint,R00_S1_V2_inner_joint_train_S2_V3,2,3,3,1,8,5,4,5,8,valence,strong_2trials_2videos,2,0,0,,2,0.0,False
0,1,2,R00_S1_V2,inner_joint,R00_S1_V2_inner_joint_train_S2_V3,2,3,3,1,8,5,4,5,8,arousal,weak_1trial,3,1,0,,4,0.0,False
0,1,2,R00_S1_V2,inner_joint,R00_S1_V2_inner_joint_train_S2_V3,2,3,3,1,8,5,4,5,8,arousal,minimal_2trials,2,0,0,,2,0.0,False
0,1,2,R00_S1_V2,inner_joint,R00_S1_V2_inner_joint_train_S2_V3,2,3,3,1,8,5,4,5,8,arousal,strong_2trials_2videos,2,0,0,,2,0.0,False
0,1,2,R00_S1_V2,inner_joint,R00_S1_V2_inner_joint_train_S3_V1,3,1,2,3,8,6,8,6,14,valence,weak_1trial,3,3,1,P016,5,0.2,False
0,1,2,R00_S1_V2,inner_joint,R00_S1_V2_inner_joint_train_S3_V1,3,1,2,3,8,6,8,6,14,valence,minimal_2trials,1,0,0,,1,0.0,False
0,1,2,R00_S1_V2,inner_joint,R00_S1_V2_inner_joint_train_S3_V1,3,1,2,3,8,6,8,6,14,valence,strong_2trials_2videos,1,0,0,,1,0.0,False
0,1,2,R00_S1_V2,inner_joint,R00_S1_V2_inner_joint_train_S3_V1,3,1,2,3,8,6,8,6,14,arousal,weak_1trial,3,5,2,P005;P028,6,0.3333333333333333,False
0,1,2,R00_S1_V2,inner_joint,R00_S1_V2_inner_joint_train_S3_V1,3,1,2,3,8,6,8,6,14,arousal,minimal_2trials,0,1,0,,1,0.0,False
0,1,2,R00_S1_V2,inner_joint,R00_S1_V2_inner_joint_train_S3_V1,3,1,2,3,8,6,8,6,14,arousal,strong_2trials_2videos,0,1,0,,1,0.0,False
0,1,2,R00_S1_V2,inner_joint,R00_S1_V2_inner_joint_train_S3_V3,3,3,2,1,8,5,4,2,4,valence,weak_1trial,3,0,0,,3,0.0,False
0,1,2,R00_S1_V2,inner_joint,R00_S1_V2_inner_joint_train_S3_V3,3,3,2,1,8,5,4,2,4,valence,minimal_2trials,0,0,0,,0,,False
0,1,2,R00_S1_V2,inner_joint,R00_S1_V2_inner_joint_train_S3_V3,3,3,2,1,8,5,4,2,4,valence,strong_2trials_2videos,0,0,0,,0,,False
0,1,2,R00_S1_V2,inner_joint,R00_S1_V2_inner_joint_train_S3_V3,3,3,2,1,8,5,4,2,4,arousal,weak_1trial,3,1,0,,4,0.0,False
0,1,2,R00_S1_V2,inner_joint,R00_S1_V2_inner_joint_train_S3_V3,3,3,2,1,8,5,4,2,4,arousal,minimal_2trials,0,0,0,,0,,False
0,1,2,R00_S1_V2,inner_joint,R00_S1_V2_inner_joint_train_S3_V3,3,3,2,1,8,5,4,2,4,arousal,strong_2trials_2videos,0,0,0,,0,,False
0,1,3,R00_S1_V3,outer_source,R00_S1_V3_outer_source,2;3,1;2,,,16,11,16,11,45,valence,weak_1trial,13,10,7,P001;P007;P010;P016;P017;P023;P026,16,0.4375,True
0,1,3,R00_S1_V3,outer_source,R00_S1_V3_outer_source,2;3,1;2,,,16,11,16,11,45,valence,minimal_2trials,8,1,1,P007,8,0.125,False
0,1,3,R00_S1_V3,outer_source,R00_S1_V3_outer_source,2;3,1;2,,,16,11,16,11,45,valence,strong_2trials_2videos,8,1,1,P007,8,0.125,False
0,1,3,R00_S1_V3,outer_source,R00_S1_V3_outer_source,2;3,1;2,,,16,11,16,11,45,arousal,weak_1trial,10,10,4,P005;P007;P016;P028,16,0.25,True
0,1,3,R00_S1_V3,outer_source,R00_S1_V3_outer_source,2;3,1;2,,,16,11,16,11,45,arousal,minimal_2trials,6,6,1,P007,11,0.09090909090909091,False
0,1,3,R00_S1_V3,outer_source,R00_S1_V3_outer_source,2;3,1;2,,,16,11,16,11,45,arousal,strong_2trials_2videos,6,6,1,P007,11,0.09090909090909091,False
0,1,3,R00_S1_V3,inner_subject_only,R00_S1_V3_inner_subject_train_S2,2,1;2,3,,8,11,8,11,25,valence,weak_1trial,7,5,4,P001;P007;P017;P023,8,0.5,True
0,1,3,R00_S1_V3,inner_subject_only,R00_S1_V3_inner_subject_train_S2,2,1;2,3,,8,11,8,11,25,valence,minimal_2trials,6,1,1,P007,6,0.16666666666666666,False
0,1,3,R00_S1_V3,inner_subject_only,R00_S1_V3_inner_subject_train_S2,2,1;2,3,,8,11,8,11,25,valence,strong_2trials_2videos,6,1,1,P007,6,0.16666666666666666,False
0,1,3,R00_S1_V3,inner_subject_only,R00_S1_V3_inner_subject_train_S2,2,1;2,3,,8,11,8,11,25,arousal,weak_1trial,6,3,1,P007,8,0.125,False
0,1,3,R00_S1_V3,inner_subject_only,R00_S1_V3_inner_subject_train_S2,2,1;2,3,,8,11,8,11,25,arousal,minimal_2trials,5,3,1,P007,7,0.14285714285714285,False
0,1,3,R00_S1_V3,inner_subject_only,R00_S1_V3_inner_subject_train_S2,2,1;2,3,,8,11,8,11,25,arousal,strong_2trials_2videos,5,3,1,P007,7,0.14285714285714285,False
0,1,3,R00_S1_V3,inner_subject_only,R00_S1_V3_inner_subject_train_S3,3,1;2,2,,8,11,8,9,20,valence,weak_1trial,6,5,3,P010;P016;P026,8,0.375,True
0,1,3,R00_S1_V3,inner_subject_only,R00_S1_V3_inner_subject_train_S3,3,1;2,2,,8,11,8,9,20,valence,minimal_2trials,2,0,0,,2,0.0,False
0,1,3,R00_S1_V3,inner_subject_only,R00_S1_V3_inner_subject_train_S3,3,1;2,2,,8,11,8,9,20,valence,strong_2trials_2videos,2,0,0,,2,0.0,False
0,1,3,R00_S1_V3,inner_subject_only,R00_S1_V3_inner_subject_train_S3,3,1;2,2,,8,11,8,9,20,arousal,weak_1trial,4,7,3,P005;P016;P028,8,0.375,True
0,1,3,R00_S1_V3,inner_subject_only,R00_S1_V3_inner_subject_train_S3,3,1;2,2,,8,11,8,9,20,arousal,minimal_2trials,1,3,0,,4,0.0,False
0,1,3,R00_S1_V3,inner_subject_only,R00_S1_V3_inner_subject_train_S3,3,1;2,2,,8,11,8,9,20,arousal,strong_2trials_2videos,1,3,0,,4,0.0,False
0,1,3,R00_S1_V3,inner_video_only,R00_S1_V3_inner_video_train_V1,2;3,1,,2,16,6,16,6,33,valence,weak_1trial,9,7,4,P001;P007;P016;P023,12,0.3333333333333333,True
0,1,3,R00_S1_V3,inner_video_only,R00_S1_V3_inner_video_train_V1,2;3,1,,2,16,6,16,6,33,valence,minimal_2trials,6,1,1,P007,6,0.16666666666666666,False
0,1,3,R00_S1_V3,inner_video_only,R00_S1_V3_inner_video_train_V1,2;3,1,,2,16,6,16,6,33,valence,strong_2trials_2videos,6,1,1,P007,6,0.16666666666666666,False
0,1,3,R00_S1_V3,inner_video_only,R00_S1_V3_inner_video_train_V1,2;3,1,,2,16,6,16,6,33,arousal,weak_1trial,9,8,3,P005;P007;P028,14,0.21428571428571427,True
0,1,3,R00_S1_V3,inner_video_only,R00_S1_V3_inner_video_train_V1,2;3,1,,2,16,6,16,6,33,arousal,minimal_2trials,2,4,1,P007,5,0.2,False
0,1,3,R00_S1_V3,inner_video_only,R00_S1_V3_inner_video_train_V1,2;3,1,,2,16,6,16,6,33,arousal,strong_2trials_2videos,2,4,1,P007,5,0.2,False
0,1,3,R00_S1_V3,inner_video_only,R00_S1_V3_inner_video_train_V2,2;3,2,,1,16,5,11,5,12,valence,weak_1trial,7,3,0,,10,0.0,False
0,1,3,R00_S1_V3,inner_video_only,R00_S1_V3_inner_video_train_V2,2;3,2,,1,16,5,11,5,12,valence,minimal_2trials,1,0,0,,1,0.0,False
0,1,3,R00_S1_V3,inner_video_only,R00_S1_V3_inner_video_train_V2,2;3,2,,1,16,5,11,5,12,valence,strong_2trials_2videos,1,0,0,,1,0.0,False
0,1,3,R00_S1_V3,inner_video_only,R00_S1_V3_inner_video_train_V2,2;3,2,,1,16,5,11,5,12,arousal,weak_1trial,5,5,0,,10,0.0,False
0,1,3,R00_S1_V3,inner_video_only,R00_S1_V3_inner_video_train_V2,2;3,2,,1,16,5,11,5,12,arousal,minimal_2trials,1,0,0,,1,0.0,False
0,1,3,R00_S1_V3,inner_video_only,R00_S1_V3_inner_video_train_V2,2;3,2,,1,16,5,11,5,12,arousal,strong_2trials_2videos,1,0,0,,1,0.0,False
0,1,3,R00_S1_V3,inner_joint,R00_S1_V3_inner_joint_train_S2_V1,2,1,3,2,8,6,8,6,19,valence,weak_1trial,6,4,3,P001;P007;P023,7,0.42857142857142855,True
0,1,3,R00_S1_V3,inner_joint,R00_S1_V3_inner_joint_train_S2_V1,2,1,3,2,8,6,8,6,19,valence,minimal_2trials,5,1,1,P007,5,0.2,False
0,1,3,R00_S1_V3,inner_joint,R00_S1_V3_inner_joint_train_S2_V1,2,1,3,2,8,6,8,6,19,valence,strong_2trials_2videos,5,1,1,P007,5,0.2,False
0,1,3,R00_S1_V3,inner_joint,R00_S1_V3_inner_joint_train_S2_V1,2,1,3,2,8,6,8,6,19,arousal,weak_1trial,6,3,1,P007,8,0.125,False
0,1,3,R00_S1_V3,inner_joint,R00_S1_V3_inner_joint_train_S2_V1,2,1,3,2,8,6,8,6,19,arousal,minimal_2trials,2,3,1,P007,4,0.25,False
0,1,3,R00_S1_V3,inner_joint,R00_S1_V3_inner_joint_train_S2_V1,2,1,3,2,8,6,8,6,19,arousal,strong_2trials_2videos,2,3,1,P007,4,0.25,False
0,1,3,R00_S1_V3,inner_joint,R00_S1_V3_inner_joint_train_S2_V2,2,2,3,1,8,5,5,5,6,valence,weak_1trial,3,1,0,,4,0.0,False
0,1,3,R00_S1_V3,inner_joint,R00_S1_V3_inner_joint_train_S2_V2,2,2,3,1,8,5,5,5,6,valence,minimal_2trials,1,0,0,,1,0.0,False
0,1,3,R00_S1_V3,inner_joint,R00_S1_V3_inner_joint_train_S2_V2,2,2,3,1,8,5,5,5,6,valence,strong_2trials_2videos,1,0,0,,1,0.0,False
0,1,3,R00_S1_V3,inner_joint,R00_S1_V3_inner_joint_train_S2_V2,2,2,3,1,8,5,5,5,6,arousal,weak_1trial,3,1,0,,4,0.0,False
0,1,3,R00_S1_V3,inner_joint,R00_S1_V3_inner_joint_train_S2_V2,2,2,3,1,8,5,5,5,6,arousal,minimal_2trials,1,0,0,,1,0.0,False
