dataset,participant_id,session_id,transition_position,previous_presentation_id,next_presentation_id,previous_video_name,next_video_name,previous_content_id,next_content_id,previous_quadrant,next_quadrant,transition_type,transition_start_sec,transition_end_sec,duration_sec,segment_file,segment_available,segment_valid,eeg_available,emg_available,ecg_available,gsr_available,chronological_order_verified,notes,raw_emg_unit_id,raw_emg_unit_type,participant_session_key,raw_emg_boundary_covered,raw_emg_observed_samples,raw_emg_expected_samples,raw_emg_sample_coverage_ratio,raw_emg_max_gap_sec,raw_emg_gap_ok,emg_ch1_finite_fraction,emg_ch2_finite_fraction,emg_ch1_exact_flatline,emg_ch2_exact_flatline,emg_ch1_low_variability_warning,emg_ch2_low_variability_warning,emg_ch1_std,emg_ch2_std,emg_ch1_robust_range,emg_ch2_robust_range,raw_emg_two_channel_eligible,raw_emg_one_channel_eligible,raw_emg_eligibility_reason
DEJA-VU,P002,S002,2,P002_S002_p2,P002_S002_p3,When Harry met Sally,Scream,filmstim_when_harry_met_sally,filmstim_scream,A,B,A_to_B,521.0,654.0,133.0,S002_transition_A_to_B_period.h5,True,True,True,True,True,True,True,,P002_S002_t2,transition,P002_S002,True,68094,68096,0.9999706296992481,0.001953190061612986,True,1.0,1.0,False,False,False,False,0.1275824820160824,0.11961108831090744,0.7520239907503128,0.5972700452804567,True,True,PASS
DEJA-VU,P002,S002,3,P002_S002_p3,P002_S002_p4,Scream,My girl,filmstim_scream,emostim_my_girl,B,C,B_to_C,870.0,1003.0,133.0,S002_transition_B_to_C_period.h5,True,True,True,True,True,True,True,,P002_S002_t3,transition,P002_S002,True,68094,68096,0.9999706296992481,0.001953190061612986,True,1.0,1.0,False,False,False,False,0.5902745666121905,0.15735579908199981,3.542297977209091,0.635590343475342,True,True,PASS
DEJA-VU,P003,S001,1,P003_S001_p1,P003_S001_p2,Clouds,There is something about Mary,self-made_clouds,filmstim_there_is_something_about_mary,D,A,D_to_A,216.0,349.0,133.0,S001_transition_D_to_A_period.h5,True,True,True,True,True,True,True,,P003_S001_t1,transition,P003_S001,True,68010,68096,0.9987370770676691,0.0019555853214114904,True,1.0,1.0,False,False,False,False,0.19691127760774454,0.11472719718326004,0.8554525184631356,0.4970067405700682,True,True,PASS
DEJA-VU,P003,S001,2,P003_S001_p2,P003_S001_p3,There is something about Mary,My girl,filmstim_there_is_something_about_mary,emostim_my_girl,A,C,A_to_C,523.0,656.0,133.0,S001_transition_A_to_C_period.h5,True,True,True,True,True,True,True,,P003_S001_t2,transition,P003_S001,True,68010,68096,0.9987370770676691,0.0019555853214114904,True,1.0,1.0,False,False,False,False,0.20990861056540686,0.6927171649141285,0.6691204309463501,2.0804344558715826,True,True,PASS
DEJA-VU,P003,S001,3,P003_S001_p3,P003_S001_p4,My girl,The Shining,emostim_my_girl,emostim_the_shining,C,B,C_to_B,855.0,988.0,133.0,S001_transition_C_to_B_period.h5,True,True,True,True,True,True,True,,P003_S001_t3,transition,P003_S001,True,68010,68096,0.9987370770676691,0.0019555853214114904,True,1.0,1.0,False,False,False,False,0.08429846536454197,0.5320001134776545,0.35743270158767704,1.819915771484375,True,True,PASS
DEJA-VU,P004,S001,1,P004_S001_p1,P004_S001_p2,Clouds,Scream,self-made_clouds,filmstim_scream,D,B,D_to_B,216.0,349.0,133.0,S001_transition_D_to_B_period.h5,True,True,True,True,True,True,True,,P004_S001_t1,transition,P004_S001,True,67999,68096,0.9985755404135338,0.0019559205902623944,True,1.0,1.0,False,False,False,False,0.4765051647609629,0.16632083335011477,2.1717324638366726,0.605345282554627,True,True,PASS
DEJA-VU,P004,S001,2,P004_S001_p2,P004_S001_p3,Scream,Mr. Bean,filmstim_scream,emostim_mr._bean,B,A,B_to_A,565.0,698.0,133.0,S001_transition_B_to_A_period.h5,True,True,True,True,True,True,True,,P004_S001_t2,transition,P004_S001,True,67998,68096,0.9985608552631579,0.0019559205902623944,True,1.0,1.0,False,False,False,False,0.3211271376908437,0.15649786550803957,1.6141964435577378,0.6387827539443971,True,True,PASS
DEJA-VU,P004,S001,3,P004_S001_p3,P004_S001_p4,Mr. Bean,The Champ,emostim_mr._bean,filmstim_the_champ,A,C,A_to_C,857.0,990.0,133.0,S001_transition_A_to_C_period.h5,True,True,True,True,True,True,True,,P004_S001_t3,transition,P004_S001,True,67999,68096,0.9985755404135338,0.0019559205902623944,True,1.0,1.0,False,False,False,False,0.2826953070069007,0.16974914602064559,1.4648399734497062,0.7174198770523073,True,True,PASS
DEJA-VU,P005,S001,1,P005_S001_p1,P005_S001_p2,Clouds,The Visitors,self-made_clouds,filmstim_the_visitors,D,A,D_to_A,216.0,349.0,133.0,S001_transition_D_to_A_period.h5,True,True,True,True,True,True,True,,P005_S001_t1,transition,P005_S001,True,68000,68096,0.9985902255639098,0.0019558992062229663,True,1.0,1.0,False,False,False,False,0.05712891978714313,0.15404037941949977,0.24973345279693593,0.5773577785491941,True,True,PASS
DEJA-VU,P005,S001,2,P005_S001_p2,P005_S001_p3,The Visitors,The Champ,filmstim_the_visitors,filmstim_the_champ,A,C,A_to_C,479.0,612.0,133.0,S001_transition_A_to_C_period.h5,True,True,True,True,True,True,True,,P005_S001_t2,transition,P005_S001,True,68000,68096,0.9985902255639098,0.0019558992062229663,True,1.0,1.0,False,False,False,False,0.06075240570538423,0.1243149763894382,0.2951939105987549,0.5156707763671875,True,True,PASS
DEJA-VU,P005,S001,3,P005_S001_p3,P005_S001_p4,The Champ,Misery,filmstim_the_champ,filmstim_misery,C,B,C_to_B,793.0,926.0,133.0,S001_transition_C_to_B_period.h5,True,True,True,True,True,True,True,,P005_S001_t3,transition,P005_S001,True,68000,68096,0.9985902255639098,0.0019558992062229663,True,1.0,1.0,False,False,False,False,0.050855622486426215,0.15005232831706034,0.20340752601623535,0.5658664894104,True,True,PASS
DEJA-VU,P006,S001,1,P006_S001_p1,P006_S001_p2,Clouds,There is something about Mary,self-made_clouds,filmstim_there_is_something_about_mary,D,A,D_to_A,216.0,349.0,133.0,S001_transition_D_to_A_period.h5,True,True,True,True,True,True,True,,P006_S001_t1,transition,P006_S001,True,68013,68096,0.998781132518797,0.001955499639734626,True,1.0,1.0,False,False,False,False,0.08861286967809842,0.14733470669355475,0.3277864456176758,0.7343818283081056,True,True,PASS
DEJA-VU,P006,S001,2,P006_S001_p2,P006_S001_p3,There is something about Mary,The Champ,filmstim_there_is_something_about_mary,filmstim_the_champ,A,C,A_to_C,523.0,656.0,133.0,S001_transition_A_to_C_period.h5,True,True,True,True,True,True,True,,P006_S001_t2,transition,P006_S001,True,68013,68096,0.998781132518797,0.001955499639734626,True,1.0,1.0,False,False,False,False,0.15530550537689572,0.12544946754535394,0.6038416671752938,0.48512685775756914,True,True,PASS
DEJA-VU,P006,S001,3,P006_S001_p3,P006_S001_p4,The Champ,The Shining,filmstim_the_champ,emostim_the_shining,C,B,C_to_B,837.0,970.0,133.0,S001_transition_C_to_B_period.h5,True,True,True,True,True,True,True,,P006_S001_t3,transition,P006_S001,True,68013,68096,0.998781132518797,0.001955499639734626,True,1.0,1.0,False,False,False,False,0.22843982916483282,0.1465723934683546,0.7991323471069336,0.7131451416015624,True,True,PASS
DEJA-VU,P007,S001,1,P007_S001_p1,P007_S001_p2,Clouds,28 days later,self-made_clouds,emostim_28_days_later,D,B,D_to_B,216.0,349.0,133.0,S001_transition_D_to_B_period.h5,True,True,True,True,True,True,True,,P007_S001_t1,transition,P007_S001,True,68094,68096,0.9999706296992481,0.0019531867001205683,True,1.0,1.0,False,False,False,False,0.2822475816701735,0.09721231293053105,0.8910163724422455,0.389849797487259,True,True,PASS
DEJA-VU,P007,S001,2,P007_S001_p2,P007_S001_p3,28 days later,My girl,emostim_28_days_later,emostim_my_girl,B,C,B_to_C,521.0,654.0,133.0,S001_transition_B_to_C_period.h5,True,True,True,True,True,True,True,,P007_S001_t2,transition,P007_S001,True,68094,68096,0.9999706296992481,0.0019531867001205683,True,1.0,1.0,False,False,False,False,0.1055056711119965,0.06006250459376503,0.4220316410064697,0.30303775936365107,True,True,PASS
DEJA-VU,P007,S001,3,P007_S001_p3,P007_S001_p4,My girl,When Harry met Sally,emostim_my_girl,filmstim_when_harry_met_sally,C,A,C_to_A,853.0,986.0,133.0,S001_transition_C_to_A_period.h5,True,True,True,True,True,True,True,,P007_S001_t3,transition,P007_S001,True,68094,68096,0.9999706296992481,0.0019531867001205683,True,1.0,1.0,False,False,False,False,0.10296616603472634,0.06475489731203508,0.4847379231452944,0.30262406140565856,True,True,PASS
DEJA-VU,P007,S002,1,P007_S002_p1,P007_S002_p2,Clouds,Mr. Bean,self-made_clouds,emostim_mr._bean,D,A,D_to_A,216.0,349.0,133.0,S002_transition_D_to_A_period.h5,True,True,True,True,True,True,True,,P007_S002_t1,transition,P007_S002,True,68005,68096,0.9986636513157895,0.001955730203917483,True,1.0,1.0,False,False,False,False,0.08168909332696235,0.2252438154746908,0.35637519836425824,0.9430817985534672,True,True,PASS
DEJA-VU,P007,S002,2,P007_S002_p2,P007_S002_p3,Mr. Bean,Misery,emostim_mr._bean,filmstim_misery,A,B,A_to_B,508.0,641.0,133.0,S002_transition_A_to_B_period.h5,True,True,True,True,True,True,True,,P007_S002_t2,transition,P007_S002,True,68006,68096,0.9986783364661654,0.0019557302075554617,True,1.0,1.0,False,False,False,False,0.06423582852072388,0.5214074487317296,0.23691821098327637,2.0469105482101355,True,True,PASS
DEJA-VU,P007,S002,3,P007_S002_p3,P007_S002_p4,Misery,Dangerous Minds,filmstim_misery,"emostim,_filmstim_dangerous_minds",B,C,B_to_C,861.0,994.0,133.0,S002_transition_B_to_C_period.h5,True,True,True,True,True,True,True,,P007_S002_t3,transition,P007_S002,True,68005,68096,0.9986636513157895,0.0019557302075554617,True,1.0,1.0,False,False,False,False,0.0891590633520845,0.31152494705132355,0.3529386329650883,1.207331123352052,True,True,PASS
DEJA-VU,P008,S001,1,P008_S001_p1,P008_S001_p2,Clouds,My girl,self-made_clouds,emostim_my_girl,D,C,D_to_C,216.0,349.0,133.0,S001_transition_D_to_C_period.h5,True,True,True,True,True,True,True,,P008_S001_t1,transition,P008_S001,True,68094,68096,0.9999706296992481,0.001953187515027821,True,1.0,1.0,False,False,False,False,0.2101706856971612,0.19015442558828743,0.8514270782470703,1.2178172302246075,True,True,PASS
DEJA-VU,P008,S001,2,P008_S001_p2,P008_S001_p3,My girl,The Shining,emostim_my_girl,emostim_the_shining,C,B,C_to_B,548.0,681.0,133.0,S001_transition_C_to_B_period.h5,True,True,True,True,True,True,True,,P008_S001_t2,transition,P008_S001,True,68094,68096,0.9999706296992481,0.001953187515027821,True,1.0,1.0,False,False,False,False,0.10280422339921264,0.07496808118931819,0.43146279811859056,0.4215796661376956,True,True,PASS
DEJA-VU,P008,S001,3,P008_S001_p3,P008_S001_p4,The Shining,When Harry met Sally,emostim_the_shining,filmstim_when_harry_met_sally,B,A,B_to_A,846.0,979.0,133.0,S001_transition_B_to_A_period.h5,True,True,True,True,True,True,True,,P008_S001_t3,transition,P008_S001,True,68094,68096,0.9999706296992481,0.001953187515027821,True,1.0,1.0,False,False,False,False,0.08553690578225895,0.13427869140348836,0.3840865039825445,0.5611594390869143,True,True,PASS
DEJA-VU,P009,S001,1,P009_S001_p1,P009_S001_p2,Clouds,My girl,self-made_clouds,emostim_my_girl,D,C,D_to_C,216.0,349.0,133.0,S001_transition_D_to_C_period.h5,True,True,True,True,True,True,True,,P009_S001_t1,transition,P009_S001,True,68094,68096,0.9999706296992481,0.0019531816942617297,True,1.0,1.0,False,False,False,False,0.04109067929955686,0.03837206796318044,0.17838252425193768,0.17227870941162138,True,True,PASS
DEJA-VU,P009,S001,2,P009_S001_p2,P009_S001_p3,My girl,28 days later,emostim_my_girl,emostim_28_days_later,C,B,C_to_B,548.0,681.0,133.0,S001_transition_C_to_B_period.h5,True,True,True,True,True,True,True,,P009_S001_t2,transition,P009_S001,True,68094,68096,0.9999706296992481,0.0019531816942617297,True,1.0,1.0,False,False,False,False,0.042851979496546413,0.08361839638417956,0.16143395185470588,0.540728397369385,True,True,PASS
DEJA-VU,P009,S001,3,P009_S001_p3,P009_S001_p4,28 days later,There is something about Mary,emostim_28_days_later,filmstim_there_is_something_about_mary,B,A,B_to_A,853.0,986.0,133.0,S001_transition_B_to_A_period.h5,True,True,True,True,True,True,True,,P009_S001_t3,transition,P009_S001,True,68095,68096,0.999985314849624,0.0019531816942617297,True,1.0,1.0,False,False,False,False,0.07651275487069426,0.06591548168106078,0.27769797801971396,0.32305263519286953,True,True,PASS
DEJA-VU,P009,S002,1,P009_S002_p1,P009_S002_p2,Clouds,Misery,self-made_clouds,filmstim_misery,D,B,D_to_B,216.0,349.0,133.0,S002_transition_D_to_B_period.h5,True,True,True,True,True,True,True,,P009_S002_t1,transition,P009_S002,True,68003,68096,0.9986342810150376,0.0019558060112103703,True,1.0,1.0,False,False,False,False,0.03562173614098504,0.15832207866553116,0.20309400081634532,0.506123962402345,True,True,PASS
DEJA-VU,P009,S002,2,P009_S002_p2,P009_S002_p3,Misery,Dangerous Minds,filmstim_misery,"emostim,_filmstim_dangerous_minds",B,C,B_to_C,569.0,702.0,133.0,S002_transition_B_to_C_period.h5,True,True,True,True,True,True,True,,P009_S002_t2,transition,P009_S002,True,68003,68096,0.9986342810150376,0.0019558060112103703,True,1.0,1.0,False,False,False,False,0.07975430642823186,0.10560478550011945,0.35717034339904785,0.4236640930175781,True,True,PASS
DEJA-VU,P009,S002,3,P009_S002_p3,P009_S002_p4,Dangerous Minds,Mr. Bean,"emostim,_filmstim_dangerous_minds",emostim_mr._bean,C,A,C_to_A,845.0,978.0,133.0,S002_transition_C_to_A_period.h5,True,True,True,True,True,True,True,,P009_S002_t3,transition,P009_S002,True,68003,68096,0.9986342810150376,0.0019558060112103703,True,1.0,1.0,False,False,False,False,0.07033949358036906,0.07916251116950807,0.31658718109130835,0.39736461639404297,True,True,PASS
DEJA-VU,P010,S001,1,P010_S001_p1,P010_S001_p2,Clouds,There is something about Mary,self-made_clouds,filmstim_there_is_something_about_mary,D,A,D_to_A,216.0,349.0,133.0,S001_transition_D_to_A_period.h5,True,True,True,True,True,True,True,,P010_S001_t1,transition,P010_S001,True,67993,68096,0.9984874295112782,0.0019560863729566336,True,1.0,1.0,False,False,False,False,0.08881048636262559,0.08478499323505144,0.3136108112335205,0.4304940104484558,True,True,PASS
DEJA-VU,P010,S001,2,P010_S001_p2,P010_S001_p3,There is something about Mary,The Shining,filmstim_there_is_something_about_mary,emostim_the_shining,A,B,A_to_B,523.0,656.0,133.0,S001_transition_A_to_B_period.h5,True,True,True,True,True,True,True,,P010_S001_t2,transition,P010_S001,True,67993,68096,0.9984874295112782,0.0019560863729566336,True,1.0,1.0,False,False,False,False,0.07632428722158376,0.07992498722421615,0.3156598377227784,0.4162072134017947,True,True,PASS
DEJA-VU,P010,S001,3,P010_S001_p3,P010_S001_p4,The Shining,The Champ,emostim_the_shining,filmstim_the_champ,B,C,B_to_C,821.0,954.0,133.0,S001_transition_B_to_C_period.h5,True,True,True,True,True,True,True,,P010_S001_t3,transition,P010_S001,True,67993,68096,0.9984874295112782,0.0019560863729566336,True,1.0,1.0,False,False,False,False,0.046969354489492236,0.10106428701362066,0.22226053237915044,0.4458818578720093,True,True,PASS
DEJA-VU,P011,S001,1,P011_S001_p1,P011_S001_p2,Clouds,When Harry met Sally,self-made_clouds,filmstim_when_harry_met_sally,D,A,D_to_A,216.0,349.0,133.0,S001_transition_D_to_A_period.h5,True,True,True,True,True,True,True,,P011_S001_t1,transition,P011_S001,True,67984,68096,0.9983552631578947,0.0019563435344025493,True,1.0,1.0,False,False,False,False,0.14009604160327374,0.10976936673827141,0.5848867893218994,0.44711001873016354,True,True,PASS
DEJA-VU,P011,S001,2,P011_S001_p2,P011_S001_p3,When Harry met Sally,Misery,filmstim_when_harry_met_sally,filmstim_misery,A,B,A_to_B,521.0,654.0,133.0,S001_transition_A_to_B_period.h5,True,True,True,True,True,True,True,,P011_S001_t2,transition,P011_S001,True,67984,68096,0.9983552631578947,0.0019563435344025493,True,1.0,1.0,False,False,False,False,0.10565285237918401,0.08591967672248146,0.37641112327575676,0.39680179119110104,True,True,PASS
DEJA-VU,P011,S001,3,P011_S001_p3,P011_S001_p4,Misery,My girl,filmstim_misery,emostim_my_girl,B,C,B_to_C,874.0,1007.0,133.0,S001_transition_B_to_C_period.h5,True,True,True,True,True,True,True,,P011_S001_t3,transition,P011_S001,True,67984,68096,0.9983552631578947,0.0019563435344025493,True,1.0,1.0,False,False,False,False,0.15905899594404121,0.10224965869580169,0.6226623058319092,0.4609091281890869,True,True,PASS
DEJA-VU,P011,S002,1,P011_S002_p1,P011_S002_p2,Clouds,The Visitors,self-made_clouds,filmstim_the_visitors,D,A,D_to_A,216.0,349.0,133.0,S002_transition_D_to_A_period.h5,True,True,True,True,True,True,True,,P011_S002_t1,transition,P011_S002,True,68094,68096,0.9999706296992481,0.001953180064447224,True,1.0,1.0,False,False,False,False,0.1037905816331698,0.16162584971200772,0.46406469821929974,0.6317904329299919,True,True,PASS
DEJA-VU,P011,S002,2,P011_S002_p2,P011_S002_p3,The Visitors,The Champ,filmstim_the_visitors,filmstim_the_champ,A,C,A_to_C,479.0,612.0,133.0,S002_transition_A_to_C_period.h5,True,True,True,True,True,True,True,,P011_S002_t2,transition,P011_S002,True,68095,68096,0.999985314849624,0.001953180064447224,True,1.0,1.0,False,False,False,False,0.0683973506965661,0.09439449074773962,0.30654239654541016,0.3489017772674563,True,True,PASS
DEJA-VU,P011,S002,3,P011_S002_p3,P011_S002_p4,The Champ,Scream,filmstim_the_champ,filmstim_scream,C,B,C_to_B,793.0,926.0,133.0,S002_transition_C_to_B_period.h5,True,True,True,True,True,True,True,,P011_S002_t3,transition,P011_S002,True,68094,68096,0.9999706296992481,0.001953180064447224,True,1.0,1.0,False,False,False,False,0.05930398299222562,0.1171231311289297,0.30792147636413514,0.44559650659561134,True,True,PASS
DEJA-VU,P012,S001,1,P012_S001_p1,P012_S001_p2,Clouds,The Champ,self-made_clouds,filmstim_the_champ,D,C,D_to_C,216.0,349.0,133.0,S001_transition_D_to_C_period.h5,True,True,True,True,True,True,True,,P012_S001_t1,transition,P012_S001,True,68094,68096,0.9999706296992481,0.001953181461431086,True,1.0,1.0,True,False,False,False,0.0,0.07254961830309542,0.0,0.34152698516845703,False,True,CH1_FLATLINE
DEJA-VU,P012,S001,2,P012_S001_p2,P012_S001_p3,The Champ,28 days later,filmstim_the_champ,emostim_28_days_later,C,B,C_to_B,530.0,663.0,133.0,S001_transition_C_to_B_period.h5,True,True,True,True,True,True,True,,P012_S001_t2,transition,P012_S001,True,68094,68096,0.9999706296992481,0.001953181461431086,True,1.0,1.0,True,False,False,False,0.0,0.169106671024102,0.0,1.2188853836059579,False,True,CH1_FLATLINE
DEJA-VU,P012,S001,3,P012_S001_p3,P012_S001_p4,28 days later,There is something about Mary,emostim_28_days_later,filmstim_there_is_something_about_mary,B,A,B_to_A,835.0,968.0,133.0,S001_transition_B_to_A_period.h5,True,True,True,True,True,True,True,,P012_S001_t3,transition,P012_S001,True,68094,68096,0.9999706296992481,0.001953181461431086,True,1.0,1.0,True,False,False,False,0.0,0.06906260264859333,0.0,0.34071220397949276,False,True,CH1_FLATLINE
DEJA-VU,P013,S001,1,P013_S001_p1,P013_S001_p2,Clouds,28 days later,self-made_clouds,emostim_28_days_later,D,B,D_to_B,216.0,349.0,133.0,S001_transition_D_to_B_period.h5,True,True,True,True,True,True,True,,P013_S001_t1,transition,P013_S001,True,68003,68096,0.9986342810150376,0.0019557817140594125,True,1.0,1.0,False,False,False,False,0.25490018240556017,0.13829105611418854,1.2598580551147442,0.5392779541015642,True,True,PASS
DEJA-VU,P013,S001,2,P013_S001_p2,P013_S001_p3,28 days later,When Harry met Sally,emostim_28_days_later,filmstim_when_harry_met_sally,B,A,B_to_A,521.0,654.0,133.0,S001_transition_B_to_A_period.h5,True,True,True,True,True,True,True,,P013_S001_t2,transition,P013_S001,True,68003,68096,0.9986342810150376,0.0019557817140594125,True,1.0,1.0,False,False,False,False,0.08377503417007214,0.29535469542347603,0.38871143341064496,1.0448493957519531,True,True,PASS
DEJA-VU,P013,S001,3,P013_S001_p3,P013_S001_p4,When Harry met Sally,My girl,filmstim_when_harry_met_sally,emostim_my_girl,A,C,A_to_C,826.0,959.0,133.0,S001_transition_A_to_C_period.h5,True,True,True,True,True,True,True,,P013_S001_t3,transition,P013_S001,True,68003,68096,0.9986342810150376,0.0019557817140594125,True,1.0,1.0,False,False,False,False,0.5070636631931621,2.488541775881889,2.6040587234497075,7.9113545227050786,True,True,PASS
DEJA-VU,P014,S001,1,P014_S001_p1,P014_S001_p2,Clouds,Misery,self-made_clouds,filmstim_misery,D,B,D_to_B,216.0,349.0,133.0,S001_transition_D_to_B_period.h5,True,True,True,True,True,True,True,,P014_S001_t1,transition,P014_S001,True,67990,68096,0.9984433740601504,0.00195617089048028,True,1.0,1.0,False,False,False,False,0.12206100035976493,0.15687032032145456,0.5106714010238651,0.7286019718647003,True,True,PASS
DEJA-VU,P014,S001,2,P014_S001_p2,P014_S001_p3,Misery,There is something about Mary,filmstim_misery,filmstim_there_is_something_about_mary,B,A,B_to_A,569.0,702.0,133.0,S001_transition_B_to_A_period.h5,True,True,True,True,True,True,True,,P014_S001_t2,transition,P014_S001,True,67989,68096,0.9984286889097744,0.00195617089048028,True,1.0,1.0,False,False,False,False,0.2366309527060824,0.13767395028132154,0.7935145378112782,0.6616419696807858,True,True,PASS
DEJA-VU,P014,S001,3,P014_S001_p3,P014_S001_p4,There is something about Mary,Dangerous Minds,filmstim_there_is_something_about_mary,"emostim,_filmstim_dangerous_minds",A,C,A_to_C,876.0,1009.0,133.0,S001_transition_A_to_C_period.h5,True,True,True,True,True,True,True,,P014_S001_t3,transition,P014_S001,True,67990,68096,0.9984433740601504,0.00195617089048028,True,1.0,1.0,False,False,False,False,0.39730826621319093,0.35606799119769866,1.3645279669761656,2.608468914031983,True,True,PASS
