dataset,participant_id,session_id,transition_position,previous_presentation_id,next_presentation_id,previous_video_name,next_video_name,previous_content_id,next_content_id,previous_quadrant,next_quadrant,transition_type,transition_start_sec,transition_end_sec,duration_sec,segment_file,segment_available,segment_valid,eeg_available,emg_available,ecg_available,gsr_available,chronological_order_verified,notes
DEJA-VU,P005,S001,2,P005_S001_p2,P005_S001_p3,The Visitors,The Champ,filmstim_the_visitors,filmstim_the_champ,A,C,A_to_C,479.0,612.0,133.0,S001_transition_A_to_C_period.h5,True,True,True,True,True,True,True,
DEJA-VU,P005,S001,3,P005_S001_p3,P005_S001_p4,The Champ,Misery,filmstim_the_champ,filmstim_misery,C,B,C_to_B,793.0,926.0,133.0,S001_transition_C_to_B_period.h5,True,True,True,True,True,True,True,
DEJA-VU,P006,S001,1,P006_S001_p1,P006_S001_p2,Clouds,There is something about Mary,self-made_clouds,filmstim_there_is_something_about_mary,D,A,D_to_A,216.0,349.0,133.0,S001_transition_D_to_A_period.h5,True,True,True,True,True,True,True,
DEJA-VU,P006,S001,2,P006_S001_p2,P006_S001_p3,There is something about Mary,The Champ,filmstim_there_is_something_about_mary,filmstim_the_champ,A,C,A_to_C,523.0,656.0,133.0,S001_transition_A_to_C_period.h5,True,True,True,True,True,True,True,
DEJA-VU,P006,S001,3,P006_S001_p3,P006_S001_p4,The Champ,The Shining,filmstim_the_champ,emostim_the_shining,C,B,C_to_B,837.0,970.0,133.0,S001_transition_C_to_B_period.h5,True,True,True,True,True,True,True,
DEJA-VU,P007,S001,1,P007_S001_p1,P007_S001_p2,Clouds,28 days later,self-made_clouds,emostim_28_days_later,D,B,D_to_B,216.0,349.0,133.0,S001_transition_D_to_B_period.h5,True,True,True,True,True,True,True,
DEJA-VU,P007,S001,2,P007_S001_p2,P007_S001_p3,28 days later,My girl,emostim_28_days_later,emostim_my_girl,B,C,B_to_C,521.0,654.0,133.0,S001_transition_B_to_C_period.h5,True,True,True,True,True,True,True,
DEJA-VU,P007,S001,3,P007_S001_p3,P007_S001_p4,My girl,When Harry met Sally,emostim_my_girl,filmstim_when_harry_met_sally,C,A,C_to_A,853.0,986.0,133.0,S001_transition_C_to_A_period.h5,True,True,True,True,True,True,True,
DEJA-VU,P007,S002,1,P007_S002_p1,P007_S002_p2,Clouds,Mr. Bean,self-made_clouds,emostim_mr._bean,D,A,D_to_A,216.0,349.0,133.0,S002_transition_D_to_A_period.h5,True,True,True,True,True,True,True,
DEJA-VU,P007,S002,2,P007_S002_p2,P007_S002_p3,Mr. Bean,Misery,emostim_mr._bean,filmstim_misery,A,B,A_to_B,508.0,641.0,133.0,S002_transition_A_to_B_period.h5,True,True,True,True,True,True,True,
DEJA-VU,P007,S002,3,P007_S002_p3,P007_S002_p4,Misery,Dangerous Minds,filmstim_misery,"emostim,_filmstim_dangerous_minds",B,C,B_to_C,861.0,994.0,133.0,S002_transition_B_to_C_period.h5,True,True,True,True,True,True,True,
DEJA-VU,P008,S001,1,P008_S001_p1,P008_S001_p2,Clouds,My girl,self-made_clouds,emostim_my_girl,D,C,D_to_C,216.0,349.0,133.0,S001_transition_D_to_C_period.h5,True,True,True,True,True,True,True,
DEJA-VU,P008,S001,2,P008_S001_p2,P008_S001_p3,My girl,The Shining,emostim_my_girl,emostim_the_shining,C,B,C_to_B,548.0,681.0,133.0,S001_transition_C_to_B_period.h5,True,True,True,True,True,True,True,
DEJA-VU,P008,S001,3,P008_S001_p3,P008_S001_p4,The Shining,When Harry met Sally,emostim_the_shining,filmstim_when_harry_met_sally,B,A,B_to_A,846.0,979.0,133.0,S001_transition_B_to_A_period.h5,True,True,True,True,True,True,True,
DEJA-VU,P009,S001,1,P009_S001_p1,P009_S001_p2,Clouds,My girl,self-made_clouds,emostim_my_girl,D,C,D_to_C,216.0,349.0,133.0,S001_transition_D_to_C_period.h5,True,True,True,True,True,True,True,
DEJA-VU,P009,S001,2,P009_S001_p2,P009_S001_p3,My girl,28 days later,emostim_my_girl,emostim_28_days_later,C,B,C_to_B,548.0,681.0,133.0,S001_transition_C_to_B_period.h5,True,True,True,True,True,True,True,
DEJA-VU,P009,S001,3,P009_S001_p3,P009_S001_p4,28 days later,There is something about Mary,emostim_28_days_later,filmstim_there_is_something_about_mary,B,A,B_to_A,853.0,986.0,133.0,S001_transition_B_to_A_period.h5,True,True,True,True,True,True,True,
DEJA-VU,P009,S002,1,P009_S002_p1,P009_S002_p2,Clouds,Misery,self-made_clouds,filmstim_misery,D,B,D_to_B,216.0,349.0,133.0,S002_transition_D_to_B_period.h5,True,True,True,True,True,True,True,
DEJA-VU,P009,S002,2,P009_S002_p2,P009_S002_p3,Misery,Dangerous Minds,filmstim_misery,"emostim,_filmstim_dangerous_minds",B,C,B_to_C,569.0,702.0,133.0,S002_transition_B_to_C_period.h5,True,True,True,True,True,True,True,
DEJA-VU,P009,S002,3,P009_S002_p3,P009_S002_p4,Dangerous Minds,Mr. Bean,"emostim,_filmstim_dangerous_minds",emostim_mr._bean,C,A,C_to_A,845.0,978.0,133.0,S002_transition_C_to_A_period.h5,True,True,True,True,True,True,True,
DEJA-VU,P010,S001,1,P010_S001_p1,P010_S001_p2,Clouds,There is something about Mary,self-made_clouds,filmstim_there_is_something_about_mary,D,A,D_to_A,216.0,349.0,133.0,S001_transition_D_to_A_period.h5,True,True,True,True,True,True,True,
DEJA-VU,P010,S001,2,P010_S001_p2,P010_S001_p3,There is something about Mary,The Shining,filmstim_there_is_something_about_mary,emostim_the_shining,A,B,A_to_B,523.0,656.0,133.0,S001_transition_A_to_B_period.h5,True,True,True,True,True,True,True,
DEJA-VU,P010,S001,3,P010_S001_p3,P010_S001_p4,The Shining,The Champ,emostim_the_shining,filmstim_the_champ,B,C,B_to_C,821.0,954.0,133.0,S001_transition_B_to_C_period.h5,True,True,True,True,True,True,True,
DEJA-VU,P011,S001,1,P011_S001_p1,P011_S001_p2,Clouds,When Harry met Sally,self-made_clouds,filmstim_when_harry_met_sally,D,A,D_to_A,216.0,349.0,133.0,S001_transition_D_to_A_period.h5,True,True,True,True,True,True,True,
DEJA-VU,P011,S001,2,P011_S001_p2,P011_S001_p3,When Harry met Sally,Misery,filmstim_when_harry_met_sally,filmstim_misery,A,B,A_to_B,521.0,654.0,133.0,S001_transition_A_to_B_period.h5,True,True,True,True,True,True,True,
DEJA-VU,P011,S001,3,P011_S001_p3,P011_S001_p4,Misery,My girl,filmstim_misery,emostim_my_girl,B,C,B_to_C,874.0,1007.0,133.0,S001_transition_B_to_C_period.h5,True,True,True,True,True,True,True,
DEJA-VU,P011,S002,1,P011_S002_p1,P011_S002_p2,Clouds,The Visitors,self-made_clouds,filmstim_the_visitors,D,A,D_to_A,216.0,349.0,133.0,S002_transition_D_to_A_period.h5,True,True,True,True,True,True,True,
DEJA-VU,P011,S002,2,P011_S002_p2,P011_S002_p3,The Visitors,The Champ,filmstim_the_visitors,filmstim_the_champ,A,C,A_to_C,479.0,612.0,133.0,S002_transition_A_to_C_period.h5,True,True,True,True,True,True,True,
DEJA-VU,P011,S002,3,P011_S002_p3,P011_S002_p4,The Champ,Scream,filmstim_the_champ,filmstim_scream,C,B,C_to_B,793.0,926.0,133.0,S002_transition_C_to_B_period.h5,True,True,True,True,True,True,True,
DEJA-VU,P012,S001,1,P012_S001_p1,P012_S001_p2,Clouds,The Champ,self-made_clouds,filmstim_the_champ,D,C,D_to_C,216.0,349.0,133.0,S001_transition_D_to_C_period.h5,True,True,True,True,True,True,True,
DEJA-VU,P012,S001,2,P012_S001_p2,P012_S001_p3,The Champ,28 days later,filmstim_the_champ,emostim_28_days_later,C,B,C_to_B,530.0,663.0,133.0,S001_transition_C_to_B_period.h5,True,True,True,True,True,True,True,
DEJA-VU,P012,S001,3,P012_S001_p3,P012_S001_p4,28 days later,There is something about Mary,emostim_28_days_later,filmstim_there_is_something_about_mary,B,A,B_to_A,835.0,968.0,133.0,S001_transition_B_to_A_period.h5,True,True,True,True,True,True,True,
DEJA-VU,P013,S001,1,P013_S001_p1,P013_S001_p2,Clouds,28 days later,self-made_clouds,emostim_28_days_later,D,B,D_to_B,216.0,349.0,133.0,S001_transition_D_to_B_period.h5,True,True,True,True,True,True,True,
DEJA-VU,P013,S001,2,P013_S001_p2,P013_S001_p3,28 days later,When Harry met Sally,emostim_28_days_later,filmstim_when_harry_met_sally,B,A,B_to_A,521.0,654.0,133.0,S001_transition_B_to_A_period.h5,True,True,True,True,True,True,True,
DEJA-VU,P013,S001,3,P013_S001_p3,P013_S001_p4,When Harry met Sally,My girl,filmstim_when_harry_met_sally,emostim_my_girl,A,C,A_to_C,826.0,959.0,133.0,S001_transition_A_to_C_period.h5,True,True,True,True,True,True,True,
DEJA-VU,P014,S001,1,P014_S001_p1,P014_S001_p2,Clouds,Misery,self-made_clouds,filmstim_misery,D,B,D_to_B,216.0,349.0,133.0,S001_transition_D_to_B_period.h5,True,True,True,True,True,True,True,
DEJA-VU,P014,S001,2,P014_S001_p2,P014_S001_p3,Misery,There is something about Mary,filmstim_misery,filmstim_there_is_something_about_mary,B,A,B_to_A,569.0,702.0,133.0,S001_transition_B_to_A_period.h5,True,True,True,True,True,True,True,
DEJA-VU,P014,S001,3,P014_S001_p3,P014_S001_p4,There is something about Mary,Dangerous Minds,filmstim_there_is_something_about_mary,"emostim,_filmstim_dangerous_minds",A,C,A_to_C,876.0,1009.0,133.0,S001_transition_A_to_C_period.h5,True,True,True,True,True,True,True,
DEJA-VU,P015,S001,1,P015_S001_p1,P015_S001_p2,Clouds,Dangerous Minds,self-made_clouds,"emostim,_filmstim_dangerous_minds",D,C,D_to_C,216.0,349.0,133.0,S001_transition_D_to_C_period.h5,True,True,True,True,True,True,True,
DEJA-VU,P015,S001,2,P015_S001_p2,P015_S001_p3,Dangerous Minds,Mr. Bean,"emostim,_filmstim_dangerous_minds",emostim_mr._bean,C,A,C_to_A,492.0,625.0,133.0,S001_transition_C_to_A_period.h5,True,True,True,True,True,True,True,
DEJA-VU,P015,S001,3,P015_S001_p3,P015_S001_p4,Mr. Bean,28 days later,emostim_mr._bean,emostim_28_days_later,A,B,A_to_B,784.0,917.0,133.0,S001_transition_A_to_B_period.h5,True,True,True,True,True,True,True,
DEJA-VU,P016,S001,1,P016_S001_p1,P016_S001_p2,Clouds,28 days later,self-made_clouds,emostim_28_days_later,D,B,D_to_B,216.0,349.0,133.0,S001_transition_D_to_B_period.h5,True,True,True,True,True,True,True,
DEJA-VU,P016,S001,2,P016_S001_p2,P016_S001_p3,28 days later,The Champ,emostim_28_days_later,filmstim_the_champ,B,C,B_to_C,521.0,654.0,133.0,S001_transition_B_to_C_period.h5,True,True,True,True,True,True,True,
DEJA-VU,P016,S001,3,P016_S001_p3,P016_S001_p4,The Champ,Mr. Bean,filmstim_the_champ,emostim_mr._bean,C,A,C_to_A,835.0,968.0,133.0,S001_transition_C_to_A_period.h5,True,True,True,True,True,True,True,
DEJA-VU,P017,S001,1,P017_S001_p1,P017_S001_p2,Clouds,Dangerous Minds,self-made_clouds,"emostim,_filmstim_dangerous_minds",D,C,D_to_C,216.0,349.0,133.0,S001_transition_D_to_C_period.h5,True,True,True,True,True,True,True,
DEJA-VU,P017,S001,2,P017_S001_p2,P017_S001_p3,Dangerous Minds,The Shining,"emostim,_filmstim_dangerous_minds",emostim_the_shining,C,B,C_to_B,492.0,625.0,133.0,S001_transition_C_to_B_period.h5,True,True,True,True,True,True,True,
DEJA-VU,P017,S001,3,P017_S001_p3,P017_S001_p4,The Shining,Mr. Bean,emostim_the_shining,emostim_mr._bean,B,A,B_to_A,790.0,923.0,133.0,S001_transition_B_to_A_period.h5,True,True,True,True,True,True,True,
DEJA-VU,P017,S002,1,P017_S002_p1,P017_S002_p2,Clouds,The Shining 2,self-made_clouds,filmstim_the_shining_2,D,B,D_to_B,216.0,349.0,133.0,S002_transition_D_to_B_period.h5,True,True,True,True,True,True,True,
DEJA-VU,P017,S002,2,P017_S002_p2,P017_S002_p3,The Shining 2,Fish called Wanda,filmstim_the_shining_2,filmstim_fish_called_wanda,B,A,B_to_A,615.0,748.0,133.0,S002_transition_B_to_A_period.h5,True,True,True,True,True,True,True,
DEJA-VU,P017,S002,3,P017_S002_p3,P017_S002_p4,Fish called Wanda,Life is beautiful,filmstim_fish_called_wanda,filmstim_life_is_beautiful,A,C,A_to_C,928.0,1061.0,133.0,S002_transition_A_to_C_period.h5,True,True,True,True,True,True,True,
DEJA-VU,P018,S001,1,P018_S001_p1,P018_S001_p2,Clouds,The Champ,self-made_clouds,filmstim_the_champ,D,C,D_to_C,216.0,349.0,133.0,S001_transition_D_to_C_period.h5,True,True,True,True,True,True,True,
DEJA-VU,P018,S001,2,P018_S001_p2,P018_S001_p3,The Champ,28 days later,filmstim_the_champ,emostim_28_days_later,C,B,C_to_B,530.0,663.0,133.0,S001_transition_C_to_B_period.h5,True,True,True,True,True,True,True,
DEJA-VU,P018,S001,3,P018_S001_p3,P018_S001_p4,28 days later,The Visitors,emostim_28_days_later,filmstim_the_visitors,B,A,B_to_A,835.0,968.0,133.0,S001_transition_B_to_A_period.h5,True,True,True,True,True,True,True,
DEJA-VU,P019,S001,1,P019_S001_p1,P019_S001_p2,Clouds,When Harry met Sally,self-made_clouds,filmstim_when_harry_met_sally,D,A,D_to_A,216.0,349.0,133.0,S001_transition_D_to_A_period.h5,True,False,True,False,True,True,True,
DEJA-VU,P019,S001,2,P019_S001_p2,P019_S001_p3,When Harry met Sally,Dangerous Minds,filmstim_when_harry_met_sally,"emostim,_filmstim_dangerous_minds",A,C,A_to_C,521.0,654.0,133.0,S001_transition_A_to_C_period.h5,True,False,True,False,True,True,True,
DEJA-VU,P019,S001,3,P019_S001_p3,P019_S001_p4,Dangerous Minds,28 days later,"emostim,_filmstim_dangerous_minds",emostim_28_days_later,C,B,C_to_B,797.0,930.0,133.0,S001_transition_C_to_B_period.h5,True,False,True,False,True,True,True,
DEJA-VU,P020,S001,1,P020_S001_p1,P020_S001_p2,Clouds,28 days later,self-made_clouds,emostim_28_days_later,D,B,D_to_B,216.0,349.0,133.0,S001_transition_D_to_B_period.h5,True,True,True,True,True,True,True,
DEJA-VU,P020,S001,2,P020_S001_p2,P020_S001_p3,28 days later,There is something about Mary,emostim_28_days_later,filmstim_there_is_something_about_mary,B,A,B_to_A,521.0,654.0,133.0,S001_transition_B_to_A_period.h5,True,True,True,True,True,True,True,
DEJA-VU,P020,S001,3,P020_S001_p3,P020_S001_p4,There is something about Mary,My girl,filmstim_there_is_something_about_mary,emostim_my_girl,A,C,A_to_C,828.0,961.0,133.0,S001_transition_A_to_C_period.h5,True,True,True,True,True,True,True,
DEJA-VU,P021,S001,1,P021_S001_p1,P021_S001_p2,Clouds,Scream,self-made_clouds,filmstim_scream,D,B,D_to_B,216.0,349.0,133.0,S001_transition_D_to_B_period.h5,True,True,True,True,True,True,True,
DEJA-VU,P021,S001,2,P021_S001_p2,P021_S001_p3,Scream,The Visitors,filmstim_scream,filmstim_the_visitors,B,A,B_to_A,565.0,698.0,133.0,S001_transition_B_to_A_period.h5,True,True,True,True,True,True,True,
DEJA-VU,P021,S001,3,P021_S001_p3,P021_S001_p4,The Visitors,Dangerous Minds,filmstim_the_visitors,"emostim,_filmstim_dangerous_minds",A,C,A_to_C,828.0,961.0,133.0,S001_transition_A_to_C_period.h5,True,True,True,True,True,True,True,
DEJA-VU,P022,S001,1,P022_S001_p1,P022_S001_p2,Clouds,The Visitors,self-made_clouds,filmstim_the_visitors,D,A,D_to_A,216.0,349.0,133.0,S001_transition_D_to_A_period.h5,True,True,True,True,True,True,True,
DEJA-VU,P022,S001,2,P022_S001_p2,P022_S001_p3,The Visitors,My girl,filmstim_the_visitors,emostim_my_girl,A,C,A_to_C,479.0,612.0,133.0,S001_transition_A_to_C_period.h5,True,True,True,True,True,True,True,
DEJA-VU,P022,S001,3,P022_S001_p3,P022_S001_p4,My girl,Misery,emostim_my_girl,filmstim_misery,C,B,C_to_B,811.0,944.0,133.0,S001_transition_C_to_B_period.h5,True,True,True,True,True,True,True,
DEJA-VU,P023,S001,1,P023_S001_p1,P023_S001_p2,Clouds,My girl,self-made_clouds,emostim_my_girl,D,C,D_to_C,216.0,349.0,133.0,S001_transition_D_to_C_period.h5,True,True,True,True,True,True,True,
DEJA-VU,P023,S001,2,P023_S001_p2,P023_S001_p3,My girl,Misery,emostim_my_girl,filmstim_misery,C,B,C_to_B,548.0,681.0,133.0,S001_transition_C_to_B_period.h5,True,True,True,True,True,True,True,
DEJA-VU,P023,S001,3,P023_S001_p3,P023_S001_p4,Misery,Mr. Bean,filmstim_misery,emostim_mr._bean,B,A,B_to_A,901.0,1034.0,133.0,S001_transition_B_to_A_period.h5,True,True,True,True,True,True,True,
DEJA-VU,P024,S001,1,P024_S001_p1,P024_S001_p2,Clouds,The Visitors,self-made_clouds,filmstim_the_visitors,D,A,D_to_A,216.0,349.0,133.0,S001_transition_D_to_A_period.h5,True,True,True,True,True,True,True,
DEJA-VU,P024,S001,2,P024_S001_p2,P024_S001_p3,The Visitors,The Champ,filmstim_the_visitors,filmstim_the_champ,A,C,A_to_C,479.0,612.0,133.0,S001_transition_A_to_C_period.h5,True,True,True,True,True,True,True,
DEJA-VU,P024,S001,3,P024_S001_p3,P024_S001_p4,The Champ,Misery,filmstim_the_champ,filmstim_misery,C,B,C_to_B,793.0,926.0,133.0,S001_transition_C_to_B_period.h5,True,True,True,True,True,True,True,
DEJA-VU,P025,S001,1,P025_S001_p1,P025_S001_p2,Clouds,The Visitors,self-made_clouds,filmstim_the_visitors,D,A,D_to_A,216.0,349.0,133.0,S001_transition_D_to_A_period.h5,True,True,True,True,True,True,True,
DEJA-VU,P025,S001,2,P025_S001_p2,P025_S001_p3,The Visitors,28 days later,filmstim_the_visitors,emostim_28_days_later,A,B,A_to_B,479.0,612.0,133.0,S001_transition_A_to_B_period.h5,True,True,True,True,True,True,True,
DEJA-VU,P025,S001,3,P025_S001_p3,P025_S001_p4,28 days later,Dangerous Minds,emostim_28_days_later,"emostim,_filmstim_dangerous_minds",B,C,B_to_C,784.0,917.0,133.0,S001_transition_B_to_C_period.h5,True,True,True,True,True,True,True,
DEJA-VU,P026,S001,1,P026_S001_p1,P026_S001_p2,Clouds,Mr. Bean,self-made_clouds,emostim_mr._bean,D,A,D_to_A,216.0,349.0,133.0,S001_transition_D_to_A_period.h5,True,True,True,True,True,True,True,
DEJA-VU,P026,S001,2,P026_S001_p2,P026_S001_p3,Mr. Bean,28 days later,emostim_mr._bean,emostim_28_days_later,A,B,A_to_B,508.0,641.0,133.0,S001_transition_A_to_B_period.h5,True,True,True,True,True,True,True,
DEJA-VU,P026,S001,3,P026_S001_p3,P026_S001_p4,28 days later,Dangerous Minds,emostim_28_days_later,"emostim,_filmstim_dangerous_minds",B,C,B_to_C,813.0,946.0,133.0,S001_transition_B_to_C_period.h5,True,True,True,True,True,True,True,
DEJA-VU,P027,S001,1,P027_S001_p1,P027_S001_p2,Clouds,The Champ,self-made_clouds,filmstim_the_champ,D,C,D_to_C,216.0,349.0,133.0,S001_transition_D_to_C_period.h5,True,True,True,True,True,True,True,
DEJA-VU,P027,S001,2,P027_S001_p2,P027_S001_p3,The Champ,Scream,filmstim_the_champ,filmstim_scream,C,B,C_to_B,530.0,663.0,133.0,S001_transition_C_to_B_period.h5,True,True,True,True,True,True,True,
DEJA-VU,P027,S001,3,P027_S001_p3,P027_S001_p4,Scream,The Visitors,filmstim_scream,filmstim_the_visitors,B,A,B_to_A,879.0,1012.0,133.0,S001_transition_B_to_A_period.h5,True,True,True,True,True,True,True,
DEJA-VU,P028,S001,1,P028_S001_p1,P028_S001_p2,Clouds,Misery,self-made_clouds,filmstim_misery,D,B,D_to_B,216.0,349.0,133.0,S001_transition_D_to_B_period.h5,True,True,True,True,True,True,True,
DEJA-VU,P028,S001,2,P028_S001_p2,P028_S001_p3,Misery,The Champ,filmstim_misery,filmstim_the_champ,B,C,B_to_C,569.0,702.0,133.0,S001_transition_B_to_C_period.h5,True,True,True,True,True,True,True,
DEJA-VU,P028,S001,3,P028_S001_p3,P028_S001_p4,The Champ,The Visitors,filmstim_the_champ,filmstim_the_visitors,C,A,C_to_A,883.0,1016.0,133.0,S001_transition_C_to_A_period.h5,True,True,True,True,True,True,True,
